背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27
背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27
7,佐野　恵太,.303,143,615,545,165,17,72,0,61,5,73,0,14,.376,.466,.842,6.32,6.13
1,桑原　将志,.310,135,571,519,161,14,43,12,44,4,75,4,12,.369,.474,.843,6.17,5.84
51,宮﨑　敏郎,.301,141,569,519,156,16,73,0,41,4,53,0,15,.353,.455,.808,5.67,5.52
2,牧　秀悟,.314,137,523,487,153,22,71,2,27,6,85,1,16,.356,.534,.890,6.51,6.24
99,ソト,.234,123,451,410,96,21,62,0,35,5,116,0,12,.302,.437,.738,4.22,4.27
23,オースティン,.303,107,439,373,113,28,74,1,60,5,111,0,9,.405,.601,1.006,8.63,8.37
9,大和,.252,106,294,270,68,2,26,1,19,0,44,4,7,.300,.322,.622,3.05,2.99
31,柴田　竜拓,.234,85,266,222,52,2,15,1,26,1,39,14,1,.313,.329,.642,3.64,3.69
29,伊藤　光,.213,53,192,160,34,2,13,1,17,2,43,12,3,.294,.288,.582,2.64,2.75
63,関根　大気,.226,103,139,124,28,1,4,2,9,1,27,5,2,.284,.298,.582,2.81,2.78
10,戸柱　恭孝,.220,56,135,127,28,3,14,0,4,1,18,2,3,.250,.346,.596,2.59,2.62
37,楠本　泰史,.254,76,127,114,29,2,18,1,10,2,23,0,1,.323,.368,.691,3.83,3.85
8,神里　和毅,.191,88,118,110,21,4,15,4,6,0,49,1,1,.231,.327,.558,2.08,2.35
6,森　敬斗,.194,44,113,103,20,0,5,4,7,0,30,1,1,.241,.272,.513,1.91,2.16
50,山本　祐大,.131,51,111,99,13,1,4,0,4,1,27,7,0,.173,.182,.355,0.35,0.55
39,嶺井　博希,.189,36,80,74,14,0,7,0,4,2,24,0,1,.250,.243,.493,1.71,1.75
5,倉本　寿彦,.208,46,74,72,15,0,6,0,2,0,17,0,2,.230,.208,.438,0.89,0.99
38,田中　俊太,.146,58,60,48,7,0,8,0,7,0,16,3,0,.246,.146,.391,0.88,1.49
66,山下　幸輝,.200,46,52,50,10,0,4,0,2,0,7,0,0,.231,.220,.451,1.42,1.51
52,細川　成也,.154,37,44,39,6,0,1,0,3,2,13,0,0,.250,.179,.429,1.31,1.51
60,知野　直人,.176,36,40,34,6,1,3,0,3,1,12,2,1,.263,.353,.616,2.22,2.39
61,蝦名　達夫,.167,31,21,18,3,0,1,0,3,0,7,0,2,.286,.167,.452,0.41,0.59
33,乙坂　智,.211,17,20,19,4,0,0,0,1,0,6,0,0,.250,.263,.513,2.09,2.09
0,中井　大介,.133,13,15,15,2,0,0,0,0,0,6,0,0,.133,.133,.267,-0.67,-0.46
0,宮本　秀明,.200,35,11,10,2,0,0,2,1,0,6,0,0,.273,.200,.473,0.44,0.78
36,髙城　俊人,.250,7,7,4,1,0,0,0,1,1,0,1,0,.500,.250,.750,6.37,6.41
32,益子　京右,.200,3,5,5,1,0,0,0,0,0,1,0,1,.200,.200,.400,-1.30,-1.30
4,伊藤　裕季也,.000,3,2,2,0,0,0,0,0,0,1,0,0,.000,.000,.000,-2.81,-2.57
44,小深田　大地,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
55,田部　隼人,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
57,東妻　純平,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
