背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27
背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27
6,宗　佑磨,.272,139,543,481,131,9,42,8,33,13,62,14,15,.335,.393,.728,4.35,4.27
99,杉本　裕太郎,.301,134,542,478,144,32,83,3,51,10,116,0,15,.378,.552,.931,7.11,7.00
24,紅林　弘太郎,.228,136,473,448,102,10,48,2,12,3,101,6,11,.251,.353,.603,2.63,2.73
4,福田　周平,.275,107,471,408,112,1,21,9,43,8,52,10,6,.354,.321,.675,4.45,4.38
34,吉田　正尚,.339,110,455,389,132,21,72,0,58,5,26,0,9,.429,.563,.992,9.05,8.68
55,Ｔ－岡田,.241,115,407,357,86,17,63,2,35,10,86,0,2,.322,.434,.756,4.99,5.13
3,安達　了一,.259,100,382,321,83,0,18,5,46,0,65,14,7,.351,.302,.653,3.75,3.71
1,モヤ,.229,106,375,354,81,13,47,1,17,0,81,0,11,.261,.373,.634,2.95,3.13
23,伏見　寅威,.218,91,262,238,52,4,25,0,14,3,39,5,5,.268,.324,.592,2.64,2.74
10,ジョーンズ,.234,72,180,154,36,4,23,0,22,3,35,0,7,.339,.338,.677,3.73,3.84
67,中川　圭太,.212,61,169,156,33,1,7,1,8,2,23,3,4,.259,.263,.522,1.93,2.00
31,太田　椋,.172,53,159,151,26,3,9,1,4,0,44,4,3,.194,.245,.439,0.89,1.07
2,若月　健矢,.214,68,140,117,25,5,16,1,11,2,27,9,2,.290,.376,.666,3.51,3.68
44,頓宮　裕真,.232,46,125,112,26,5,14,0,8,3,41,1,0,.298,.402,.700,4.33,4.50
41,佐野　皓大,.146,67,87,82,12,1,2,8,1,1,26,3,0,.167,.232,.398,0.89,1.08
69,ロメロ,.169,20,80,77,13,3,9,0,2,1,31,0,1,.200,.338,.538,1.84,2.05
38,来田　涼斗,.211,23,76,71,15,2,8,1,3,1,30,0,1,.250,.338,.588,2.28,2.47
9,大城　滉二,.180,49,71,61,11,0,5,1,3,2,14,5,2,.242,.230,.472,1.33,1.37
25,西村　凌,.214,13,45,42,9,0,2,0,3,0,6,0,1,.267,.262,.529,2.04,2.04
5,西野　真弘,.146,18,42,41,6,0,1,0,1,0,6,0,0,.167,.146,.313,-0.10,0.11
36,山足　達也,.273,53,39,33,9,0,1,0,4,0,5,2,0,.351,.273,.624,3.90,3.88
53,宜保　翔,.160,33,28,25,4,0,1,0,1,1,7,1,1,.222,.240,.462,0.97,0.99
40,大下　誠一郎,.160,15,27,25,4,1,2,0,1,1,7,0,0,.222,.280,.502,1.84,2.15
50,小田　裕也,.067,101,18,15,1,0,0,5,1,1,4,1,0,.176,.067,.243,-0.11,0.30
8,後藤　駿太,.125,56,17,16,2,1,1,2,1,0,6,0,0,.176,.313,.489,1.34,1.82
60,佐野　如一,.000,10,9,8,0,0,0,0,0,0,5,1,0,.000,.000,.000,-2.40,-2.16
33,松井　雅人,.000,10,7,7,0,0,0,0,0,0,2,0,0,.000,.000,.000,-2.76,-2.51
42,ラベロ,.429,2,7,7,3,0,0,0,0,0,1,0,1,.429,.429,.857,4.61,4.10
0,勝俣　翔貴,.000,1,1,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,-2.70,-2.43
27,元　謙太,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
62,中川　拓真,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
64,廣澤　伸哉,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
94,岡﨑　大輔,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
