背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27
背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27
63,西川　龍馬,.286,137,551,504,144,12,60,3,37,2,70,4,14,.335,.399,.733,4.55,4.51
33,菊池　涼介,.277,132,542,494,137,16,60,1,42,1,86,2,8,.333,.429,.762,4.96,4.90
1,鈴木　誠也,.317,132,533,435,138,38,88,9,87,6,88,0,7,.433,.639,1.072,10.03,9.77
31,坂倉　将吾,.315,132,484,422,133,12,68,4,51,4,60,2,9,.390,.467,.857,6.71,6.54
51,小園　海斗,.298,113,481,449,134,5,35,4,13,3,57,12,7,.320,.399,.718,4.40,4.28
44,林　晃汰,.266,102,376,357,95,10,40,0,16,2,93,0,9,.301,.392,.693,3.86,3.80
37,野間　峻祥,.272,74,270,250,68,2,12,9,17,2,29,1,3,.323,.340,.663,4.24,4.13
27,會澤　翼,.256,70,204,180,46,3,22,0,16,4,33,1,8,.325,.361,.686,3.74,3.79
55,松山　竜平,.263,85,194,175,46,2,29,0,17,0,22,0,4,.325,.354,.679,4.07,4.07
6,安部　友裕,.252,85,170,151,38,1,12,2,15,1,47,1,2,.320,.305,.624,3.51,3.59
2,田中　広輔,.206,81,160,136,28,2,8,1,18,2,23,4,0,.308,.279,.587,2.93,3.06
38,宇草　孔基,.291,43,158,148,43,4,14,6,6,3,42,1,1,.331,.432,.764,4.89,4.76
7,堂林　翔太,.190,70,143,137,26,0,5,2,3,1,34,2,4,.213,.234,.446,0.88,0.93
5,長野　久義,.216,71,140,125,27,2,13,1,14,1,30,0,2,.300,.288,.588,3.01,3.11
10,クロン,.231,42,137,130,30,6,16,0,6,1,47,0,2,.270,.431,.701,3.87,3.88
62,石原　貴規,.239,60,125,113,27,4,12,1,9,0,24,2,7,.293,.354,.647,2.81,2.97
69,羽月　隆太郎,.255,39,117,102,26,1,11,6,8,0,26,7,0,.309,.353,.662,4.07,3.98
0,上本　崇司,.273,63,68,55,15,0,2,2,5,6,10,0,0,.382,.309,.691,4.85,5.19
22,中村　奨成,.283,39,61,53,15,2,5,3,8,0,15,0,0,.377,.453,.830,6.70,6.54
59,大盛　穂,.270,56,41,37,10,0,3,5,1,1,19,2,2,.308,.351,.659,3.30,3.19
96,メヒア,.216,18,40,37,8,0,0,0,2,1,11,0,0,.275,.216,.491,2.03,2.16
40,磯村　嘉孝,.171,21,39,35,6,0,3,0,2,1,9,0,0,.231,.229,.459,1.57,1.94
49,正隨　優弥,.115,14,27,26,3,1,4,0,1,0,10,0,2,.148,.231,.379,-0.43,-0.12
35,三好　匠,.000,64,13,11,0,0,0,0,0,0,4,2,0,.000,.000,.000,-2.18,-1.95
0,曽根　海成,.000,66,6,5,0,0,0,9,1,0,3,0,0,.167,.000,.167,-1.04,0.63
61,矢野　雅哉,.000,13,6,6,0,0,0,0,0,0,3,0,0,.000,.000,.000,-2.81,-2.52
32,白濱　裕太,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
45,桒原　樹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
50,髙橋　大樹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
54,韮澤　雄也,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
56,中神　拓都,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
60,永井　敦士,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
