背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27
背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27
8,大島　洋平,.292,141,596,548,160,1,34,16,42,3,60,1,4,.345,.350,.695,4.65,4.48
66,ビシエド,.275,130,526,480,132,17,70,1,35,8,56,0,15,.333,.433,.766,4.84,4.75
3,高橋　周平,.259,137,520,475,123,5,39,1,40,1,79,0,21,.315,.347,.663,3.44,3.39
1,京田　陽太,.257,113,448,409,105,3,24,6,21,7,75,8,5,.302,.315,.618,3.23,3.29
35,木下　拓哉,.270,123,393,352,95,11,43,1,35,1,58,3,11,.336,.412,.748,4.65,4.58
55,福田　永将,.244,110,305,279,68,8,28,1,22,3,49,0,6,.305,.419,.724,4.23,4.18
5,阿部　寿樹,.209,66,240,215,45,5,16,0,19,0,36,4,8,.271,.326,.597,2.46,2.61
63,堂上　直倫,.219,75,234,219,48,5,25,1,9,0,42,4,12,.248,.333,.581,2.01,2.12
9,福留　孝介,.218,91,216,193,42,4,18,0,23,0,56,0,5,.301,.342,.643,3.34,3.33
7,根尾　昂,.178,72,188,169,30,1,16,0,15,2,53,1,2,.251,.231,.482,1.42,1.65
37,三ツ俣　大樹,.222,58,138,117,26,1,11,0,7,1,27,13,0,.272,.308,.580,2.73,2.70
31,渡辺　勝,.210,48,134,119,25,2,11,3,9,0,25,6,1,.266,.277,.543,2.12,2.25
52,加藤　翔平,.209,55,128,110,23,1,2,8,11,0,19,7,2,.281,.255,.536,2.51,2.59
0,髙松　渡,.250,78,123,112,28,0,4,15,3,1,35,6,0,.274,.259,.532,2.03,2.21
57,Ａ．マルティネス,.244,48,94,82,20,2,7,0,10,2,30,0,1,.340,.317,.657,3.85,3.91
68,桂　依央利,.254,36,75,71,18,1,7,0,1,1,24,2,2,.274,.408,.682,3.44,3.30
26,井領　雅貴,.219,38,68,64,14,1,2,0,4,0,19,0,2,.265,.344,.608,2.65,2.65
60,岡林　勇希,.254,24,62,59,15,0,4,2,1,0,13,1,1,.262,.322,.584,2.89,2.91
6,平田　良介,.155,21,62,58,9,0,4,1,3,1,13,0,1,.210,.259,.468,1.35,1.45
48,溝脇　隼人,.268,22,47,41,11,0,2,1,3,0,10,3,0,.318,.317,.635,3.83,3.67
99,ガーバー,.156,12,46,45,7,0,1,0,1,0,18,0,0,.174,.178,.352,0.20,0.36
56,武田　健吾,.132,93,41,38,5,1,1,0,1,0,17,2,1,.154,.263,.417,0.45,0.62
51,滝野　要,.103,38,30,29,3,0,0,3,1,0,4,0,0,.133,.172,.306,0.33,0.57
49,伊藤　康祐,.053,25,21,19,1,0,0,0,0,0,9,2,0,.053,.105,.158,-1.36,-1.20
58,石橋　康太,.143,11,16,14,2,0,0,0,1,0,3,1,1,.200,.143,.343,-0.34,-0.17
44,郡司　裕也,.462,9,15,13,6,0,3,0,2,0,3,0,0,.533,.538,1.072,13.84,12.54
27,大野　奨太,.143,8,15,14,2,0,0,0,1,0,5,0,1,.200,.143,.343,-0.50,-0.31
32,石垣　雅海,.100,9,11,10,1,0,0,0,0,0,3,1,0,.100,.200,.300,-0.25,-0.19
0,石岡　諒太,.091,6,11,11,1,0,0,0,0,0,5,0,1,.091,.091,.182,-2.14,-1.99
39,山下　斐紹,.100,5,10,10,1,0,0,0,0,0,5,0,0,.100,.100,.200,-1.29,-1.05
45,土田　龍空,.400,9,7,5,2,0,2,0,2,0,2,0,0,.571,.600,1.171,15.98,14.49
4,藤井　淳志,.000,1,1,1,0,0,0,0,0,0,1,0,0,.000,.000,.000,-2.92,-2.70
2,石川　昂弥,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,遠藤　一星,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,三好　大倫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
52,加藤　匠馬,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
