背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27
背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27
7,鈴木　大地,.277,143,628,552,153,10,53,3,52,6,51,13,12,.343,.377,.720,4.58,4.57
35,島内　宏明,.257,141,599,486,125,21,96,2,97,8,87,2,15,.385,.477,.863,6.39,6.38
3,浅村　栄斗,.269,143,595,483,130,18,67,1,101,4,96,0,24,.395,.422,.817,5.77,5.84
27,岡島　豪郎,.280,126,507,461,129,8,56,3,28,9,94,5,9,.331,.414,.745,4.62,4.52
5,茂木　栄五郎,.259,120,466,410,106,14,53,6,48,6,107,0,6,.343,.427,.770,5.17,5.16
0,小深田　大翔,.248,121,455,391,97,3,21,5,44,3,65,16,1,.328,.312,.640,3.74,3.75
8,辰己　涼介,.225,130,443,374,84,10,32,6,51,6,99,11,7,.326,.345,.671,3.73,3.83
2,太田　光,.188,107,281,240,45,4,23,1,17,7,64,16,2,.260,.254,.515,1.99,2.18
34,山﨑　剛,.256,56,194,168,43,4,24,4,15,3,41,7,5,.326,.399,.725,4.16,4.15
26,炭谷　銀仁朗,.219,51,124,105,23,3,8,0,7,1,24,10,3,.272,.333,.605,2.47,2.64
9,ディクソン,.167,38,123,108,18,4,15,2,12,3,42,0,3,.268,.324,.592,2.52,2.74
48,渡邊　佳明,.273,45,113,99,27,1,7,0,11,1,19,2,3,.351,.323,.675,3.84,3.80
4,オコエ　瑠偉,.223,42,110,94,21,0,6,3,8,1,21,7,1,.291,.234,.525,2.45,2.50
33,銀次,.286,35,105,91,26,0,3,0,14,0,11,0,2,.381,.297,.678,4.62,4.52
51,小郷　裕哉,.182,38,88,77,14,2,6,1,6,2,23,3,0,.259,.325,.583,2.66,2.79
24,黒川　史陽,.187,34,80,75,14,1,8,0,3,1,17,1,1,.228,.253,.481,1.50,1.62
12,カスティーヨ,.225,33,76,71,16,1,3,0,4,1,17,0,1,.276,.282,.558,2.30,2.36
30,横尾　俊建,.180,30,68,61,11,0,3,0,0,6,8,1,2,.254,.213,.467,1.29,1.39
25,田中　和基,.136,61,67,59,8,0,3,0,7,1,16,0,0,.239,.136,.374,0.77,1.06
36,内田　靖人,.204,25,60,54,11,1,11,0,1,1,19,1,1,.220,.296,.517,1.81,2.43
66,村林　一輝,.150,79,47,40,6,1,4,4,2,0,8,5,2,.190,.250,.440,0.57,0.79
55,田中　貴也,.263,31,43,38,10,2,3,0,3,0,9,2,0,.317,.474,.791,5.32,5.25
67,下妻　貴寛,.174,16,27,23,4,0,2,0,4,0,5,0,0,.296,.174,.470,2.03,2.29
44,足立　祐一,.059,10,20,17,1,0,1,0,1,0,2,2,0,.111,.118,.229,-0.64,-0.48
50,武藤　敦貴,.105,44,19,19,2,0,0,4,0,0,8,0,0,.105,.211,.316,0.84,1.06
46,下水流　昂,.100,6,10,10,1,0,0,0,0,0,4,0,0,.100,.100,.200,-1.27,-1.02
54,和田　恋,.250,7,9,8,2,0,0,0,1,0,4,0,0,.333,.250,.583,3.37,3.47
38,岩見　雅紀,.143,4,8,7,1,0,0,0,1,0,3,0,0,.250,.286,.536,2.28,2.25
6,藤田　一也,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
63,入江　大樹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
65,堀内　謙伍,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
70,石原　彪,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
78,水上　桂,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
