背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27
背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27
7,西川　遥輝,.233,130,547,447,104,3,35,24,89,4,99,3,3,.362,.318,.680,4.58,4.66
8,近藤　健介,.298,133,545,447,133,11,69,4,88,4,84,0,11,.413,.472,.885,7.35,7.14
26,淺間　大基,.251,128,458,411,103,5,31,8,31,5,115,7,5,.308,.338,.646,3.62,3.66
91,髙濱　祐仁,.262,107,404,367,96,8,43,2,23,1,82,11,10,.305,.390,.695,3.88,3.81
24,野村　佑希,.267,99,394,371,99,7,37,0,16,4,90,1,7,.303,.361,.664,3.70,3.70
23,渡邉　諒,.242,83,325,281,68,3,29,5,30,7,72,4,12,.327,.320,.647,3.39,3.46
38,石井　一成,.225,111,321,284,64,4,19,8,22,0,87,14,2,.280,.335,.615,3.00,3.05
3,王　柏融,.242,95,283,252,61,9,48,1,25,5,70,0,4,.322,.429,.750,4.86,4.80
10,清水　優心,.206,100,256,214,44,4,18,0,28,0,60,11,3,.294,.290,.584,2.83,3.07
5,大田　泰示,.204,76,206,191,39,3,20,1,14,0,50,0,10,.257,.298,.556,1.79,1.88
6,中田　翔,.193,39,150,135,26,4,13,0,14,1,31,0,4,.273,.304,.577,2.45,2.62
66,万波　中正,.198,49,133,126,25,5,13,0,4,2,53,0,3,.233,.405,.638,2.70,2.85
53,Ｒ．ロドリゲス,.197,50,125,122,24,6,12,1,3,0,38,0,2,.216,.426,.642,2.95,3.05
68,石川　亮,.185,60,123,108,20,0,7,0,4,0,21,11,3,.214,.204,.418,0.63,0.71
9,中島　卓也,.186,67,117,97,18,0,1,7,12,0,29,8,0,.275,.186,.461,1.86,2.03
49,佐藤　龍世,.219,40,117,105,23,0,6,1,10,0,35,1,1,.284,.238,.523,2.34,2.51
12,松本　剛,.261,47,104,92,24,0,2,1,8,2,13,2,2,.333,.283,.616,3.11,3.10
2,杉谷　拳士,.117,54,93,77,9,2,9,2,10,4,27,2,2,.253,.247,.500,1.47,1.77
45,平沼　翔太,.194,32,85,72,14,0,3,0,8,1,18,4,0,.284,.264,.548,2.60,2.64
50,五十幡　亮汰,.225,27,84,80,18,1,5,9,2,0,19,2,0,.244,.325,.569,3.11,3.10
60,郡　拓也,.188,33,77,69,13,0,4,1,6,1,23,1,1,.263,.232,.495,1.67,1.76
30,宇佐見　真吾,.116,32,57,43,5,1,2,0,8,1,16,5,2,.269,.186,.455,1.16,1.45
93,樋口　龍之介,.212,22,54,52,11,0,3,0,0,2,19,0,3,.241,.269,.510,1.19,1.16
32,谷内　亮太,.179,106,44,39,7,0,2,0,3,0,5,1,1,.233,.179,.412,0.86,1.27
45,木村　文紀,.103,23,36,29,3,1,4,0,5,0,13,0,1,.222,.241,.464,1.23,2.13
61,今川　優馬,.071,13,30,28,2,1,2,0,1,1,9,0,0,.133,.179,.312,-0.20,0.22
56,細川　凌平,.200,9,26,25,5,0,0,0,1,0,12,0,0,.231,.200,.431,0.61,0.80
22,鶴岡　慎也,.263,13,20,19,5,0,0,0,1,0,3,0,1,.300,.316,.616,2.67,2.54
4,谷口　雄也,.167,8,12,12,2,0,0,0,0,0,5,0,0,.167,.167,.333,-0.02,0.16
70,今井　順之助,.000,1,3,2,0,0,0,0,1,0,0,0,0,.333,.000,.333,1.52,2.16
69,宮田　輝星,.000,5,2,2,0,0,0,2,0,0,0,0,0,.000,.000,.000,-2.37,-1.26
48,上野　響平,.000,4,2,2,0,0,0,0,0,0,1,0,0,.000,.000,.000,-2.81,-2.57
64,田宮　裕涼,.000,3,1,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,-2.70,-2.43
21,清宮　幸太郎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,古川　裕大,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
55,難波　侑平,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
65,梅林　優貴,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
67,片岡　奨人,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
