背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27
背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27
25,岡本　和真,.265,143,592,521,138,39,113,1,57,7,108,0,16,.341,.530,.871,6.04,6.17
6,坂本　勇人,.271,117,487,424,115,19,46,2,58,1,90,2,4,.359,.467,.826,6.09,5.99
31,松原　聖弥,.274,135,477,431,118,12,37,15,38,2,100,3,4,.333,.422,.756,5.08,5.05
8,丸　佳浩,.265,118,457,392,104,23,55,5,63,0,120,0,5,.365,.495,.860,6.50,6.49
48,ウィーラー,.289,121,427,384,111,15,56,3,34,8,78,0,16,.358,.479,.837,5.71,5.50
24,大城　卓三,.231,125,386,347,80,11,37,0,33,2,80,3,11,.300,.360,.660,3.42,3.47
29,吉川　尚輝,.272,108,329,305,83,5,25,7,17,2,48,3,4,.313,.370,.683,4.30,4.23
13,梶谷　隆幸,.282,61,246,227,64,4,23,11,15,3,40,0,2,.333,.388,.721,4.51,4.45
37,若林　晃弘,.239,96,242,213,51,5,16,1,22,2,46,3,1,.314,.362,.675,3.94,4.03
9,亀井　善行,.215,92,206,186,40,3,17,1,13,2,47,2,3,.270,.339,.608,2.90,3.04
5,中島　宏之,.271,81,195,181,49,6,26,0,9,3,35,1,9,.314,.425,.740,4.07,4.01
10,スモーク,.272,34,125,114,31,7,14,0,10,1,37,0,2,.336,.482,.818,5.71,5.68
32,廣岡　大志,.189,78,117,106,20,5,15,2,7,3,25,0,2,.256,.387,.643,3.11,3.41
10,中田　翔,.154,34,106,91,14,3,7,0,14,1,29,0,3,.274,.297,.570,2.33,2.54
52,北村　拓己,.250,53,103,92,23,4,11,1,8,1,28,2,4,.317,.413,.730,4.06,4.05
43,重信　慎之介,.218,73,86,78,17,2,6,6,7,0,26,1,0,.282,.321,.603,3.25,3.37
22,小林　誠司,.093,64,79,75,7,1,3,1,1,1,24,2,2,.117,.160,.277,-0.69,-0.46
66,香月　一也,.203,39,67,59,12,3,6,0,4,2,12,2,2,.277,.407,.684,3.35,3.46
27,炭谷　銀仁朗,.188,44,54,48,9,1,7,0,4,0,17,1,0,.245,.250,.495,1.92,2.29
39,立岡　宗一郎,.205,47,47,44,9,0,1,0,3,0,7,0,0,.255,.205,.460,1.64,1.78
36,石川　慎吾,.189,26,41,37,7,0,0,0,4,0,8,0,1,.268,.243,.512,1.48,1.56
28,ハイネマン,.160,10,28,25,4,0,2,0,1,2,6,0,1,.250,.200,.450,1.01,1.14
0,増田　大輝,.136,56,25,22,3,1,2,8,2,0,6,1,0,.208,.318,.527,1.52,2.00
38,岸田　行倫,.182,27,24,22,4,0,2,0,2,0,8,0,0,.250,.273,.523,2.17,2.31
0,湯浅　大,.385,33,13,13,5,0,0,1,0,0,1,0,0,.385,.462,.846,6.07,5.55
51,八百板　卓丸,.167,16,12,12,2,0,1,0,0,0,4,0,1,.167,.167,.333,-0.85,-0.74
2,陽　岱鋼,.143,7,7,7,1,0,0,0,0,0,2,0,0,.143,.143,.286,-0.45,-0.27
98,ウレーニャ,.000,4,5,5,0,0,0,0,0,0,3,0,0,.000,.000,.000,-2.83,-2.54
44,テームズ,.000,1,2,2,0,0,0,0,0,0,2,0,0,.000,.000,.000,-2.92,-2.70
68,秋広　優人,.000,1,1,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,-2.70,-2.43
93,平間　隼人,.000,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0.00,0.00
40,中山　礼都,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
60,菊田　拡和,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
61,増田　陸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
65,松井　義弥,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
67,山瀬　慎之助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
69,萩原　哲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97,伊藤　海斗,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
