背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27
背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27
31,栗原　陵矢,.275,143,596,531,146,21,77,7,53,2,90,3,9,.339,.465,.804,5.64,5.63
9,柳田　悠岐,.300,141,593,516,155,28,80,6,69,6,122,0,6,.388,.541,.929,7.89,7.59
7,中村　晃,.245,139,552,462,113,8,56,1,70,3,59,11,8,.344,.348,.692,4.36,4.44
19,甲斐　拓也,.227,143,479,405,92,12,44,6,44,2,142,26,7,.305,.353,.658,3.34,3.45
6,今宮　健太,.214,125,413,365,78,4,30,4,22,1,70,23,5,.259,.299,.558,2.38,2.44
5,松田　宣浩,.234,115,390,354,83,14,47,5,27,2,67,3,10,.289,.407,.696,3.87,4.01
68,三森　大貴,.249,86,345,329,82,0,20,16,11,0,77,3,3,.272,.313,.585,2.92,2.92
54,デスパイネ,.264,80,308,261,69,10,41,0,44,2,64,0,12,.373,.437,.810,5.37,5.32
36,牧原　大成,.278,98,292,273,76,4,21,14,9,2,42,7,5,.305,.363,.668,4.05,3.97
23,周東　佑京,.201,70,188,169,34,3,5,21,12,1,49,6,1,.258,.260,.519,2.40,2.57
27,グラシアル,.304,37,150,138,42,5,15,2,11,1,27,0,4,.360,.457,.817,5.91,5.70
64,真砂　勇介,.254,79,124,114,29,1,8,1,6,1,41,2,0,.295,.333,.628,3.17,3.24
99,川島　慶三,.239,56,123,109,26,2,11,0,11,0,31,2,0,.306,.367,.673,4.11,4.12
24,長谷川　勇也,.260,71,120,100,26,3,19,0,17,1,18,0,2,.367,.430,.797,5.79,5.76
52,リチャード,.181,34,116,105,19,7,20,0,6,2,38,0,1,.233,.419,.652,3.19,3.71
8,明石　健志,.202,57,95,84,17,0,7,1,9,1,18,0,1,.284,.226,.510,2.09,2.33
51,上林　誠知,.191,39,72,68,13,2,11,2,3,0,18,0,2,.222,.324,.546,1.65,1.99
4,バレンティン,.182,22,60,55,10,4,9,0,5,0,19,0,2,.250,.455,.705,3.34,3.55
45,谷川原　健太,.146,59,57,48,7,1,5,1,7,0,21,2,0,.255,.229,.484,1.65,1.91
32,柳町　達,.229,20,54,48,11,1,2,0,5,0,12,1,1,.302,.354,.656,3.53,3.49
71,アルバレス,.162,12,40,37,6,1,3,0,3,0,7,0,1,.225,.270,.495,1.45,1.65
0,川瀬　晃,.185,21,30,27,5,0,0,1,2,0,9,1,0,.241,.185,.427,1.42,1.58
55,野村　大樹,.176,7,19,17,3,0,3,0,2,0,5,0,0,.263,.235,.498,2.04,2.12
0,髙田　知季,.167,61,17,12,2,0,2,1,2,0,4,2,0,.267,.333,.600,3.27,3.99
12,髙谷　裕亮,.235,20,17,17,4,0,0,0,0,0,1,0,0,.235,.235,.471,1.65,1.70
30,佐藤　直樹,.000,25,11,9,0,0,0,1,2,0,5,0,0,.182,.000,.182,-0.43,0.03
60,釜元　豪,.500,18,10,10,5,1,3,2,0,0,0,0,0,.500,.900,1.400,15.89,14.63
62,海野　隆司,.250,11,5,4,1,0,2,0,0,0,1,0,0,.200,.500,.700,3.75,5.47
65,九鬼　隆平,.500,3,2,2,1,0,1,0,0,0,0,0,0,.500,.500,1.000,12.30,11.07
13,中谷　将大,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,牧原　巧汰,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,増田　珠,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
43,井上　朋也,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
44,笹川　吉康,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,川原田　純平,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
59,水谷　瞬,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
69,小林　珠維,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
79,渡邉　陸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
