背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27
背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27
10,森　友哉,.309,125,520,431,133,11,41,5,79,6,65,1,4,.420,.469,.889,7.86,7.55
6,源田　壮亮,.272,119,516,464,126,2,29,24,31,2,67,17,5,.319,.347,.666,3.95,3.87
39,呉　念庭,.238,130,478,425,101,10,48,3,43,3,70,4,3,.310,.348,.658,3.90,3.98
60,中村　剛也,.284,123,475,430,122,18,74,0,39,2,114,0,12,.343,.440,.783,5.23,5.24
1,栗山　巧,.251,117,446,387,97,4,43,1,49,3,58,0,11,.334,.320,.654,3.82,3.97
3,山川　穂高,.232,110,414,358,83,24,66,0,43,7,101,0,7,.321,.469,.791,5.16,5.44
68,岸　潤一郎,.220,100,338,304,67,9,30,2,13,5,49,15,10,.263,.345,.609,2.58,2.68
53,愛斗,.219,97,316,292,64,8,39,1,13,6,60,3,5,.265,.377,.642,3.14,3.19
5,外崎　修汰,.220,73,300,254,56,5,19,9,35,2,54,6,1,.316,.335,.651,3.80,3.94
7,金子　侑司,.192,101,220,198,38,0,9,9,12,2,39,6,7,.243,.237,.480,1.02,1.21
22,スパンジェンバーグ,.232,61,212,181,42,7,27,3,27,3,64,0,5,.340,.420,.760,4.64,4.75
72,川越　誠司,.225,63,174,160,36,5,11,1,12,1,44,1,2,.283,.350,.633,3.37,3.46
52,山田　遥楓,.197,98,173,147,29,0,18,1,13,0,41,10,1,.258,.252,.509,1.88,2.12
35,若林　楽人,.278,44,161,144,40,2,10,20,10,4,41,2,3,.340,.389,.729,4.53,4.49
49,ブランドン,.247,32,84,81,20,3,8,0,0,1,21,1,3,.253,.444,.697,3.38,3.41
37,柘植　世那,.215,35,72,65,14,1,8,0,3,0,19,2,4,.243,.292,.535,1.49,1.83
9,木村　文紀,.180,20,56,50,9,0,3,0,3,0,18,2,0,.222,.220,.442,1.31,1.58
2,岡田　雅利,.119,34,55,42,5,1,2,0,4,2,5,7,0,.229,.214,.443,1.38,1.60
46,鈴木　将平,.158,27,42,38,6,0,0,0,2,0,8,2,0,.200,.184,.384,0.69,0.83
4,山野辺　翔,.194,25,39,36,7,0,2,4,0,1,11,1,0,.211,.278,.488,1.95,2.29
51,西川　愛也,.000,12,27,20,0,0,2,0,4,0,8,1,1,.154,.000,.154,-1.16,-0.10
99,メヒア,.143,16,22,21,3,1,3,0,1,0,12,0,0,.182,.381,.563,2.10,2.12
65,戸川　大輔,.059,8,18,17,1,0,1,0,0,0,5,0,0,.056,.059,.114,-1.73,-0.97
8,渡部　健人,.063,6,17,16,1,1,2,0,1,0,7,0,0,.118,.250,.368,0.18,0.67
73,高木　渉,.067,6,17,15,1,0,1,0,2,0,7,0,0,.176,.133,.310,-0.07,0.15
31,平沼　翔太,.154,9,13,13,2,0,0,0,0,0,5,0,0,.154,.231,.385,0.43,0.47
31,佐藤　龍世,.167,11,12,12,2,0,0,0,0,0,2,0,0,.167,.167,.333,0.05,0.22
58,熊代　聖人,.286,60,9,7,2,0,0,1,0,1,1,1,0,.375,.286,.661,2.92,3.01
63,綱島　龍生,.000,7,3,3,0,0,0,0,0,0,2,0,0,.000,.000,.000,-2.84,-2.61
78,齊藤　誠人,.000,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0.00,0.00
32,山村　崇嘉,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,牧野　翔矢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
56,川野　涼多,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
62,駒月　仁人,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
66,仲三河　優太,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
