背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27
背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27
0,荻野　貴司,.296,143,643,570,169,10,45,24,53,12,70,5,5,.367,.425,.791,5.88,5.69
8,中村　奨吾,.283,143,615,506,143,9,67,12,76,10,90,15,8,.382,.415,.797,5.79,5.74
54,レアード,.262,136,545,485,127,29,95,0,50,3,109,0,15,.330,.478,.809,5.25,5.39
79,マーティン,.233,116,499,416,97,27,75,4,70,10,132,0,9,.355,.500,.855,6.13,6.17
4,藤岡　裕大,.255,137,493,432,110,3,37,10,40,2,95,18,7,.320,.338,.658,3.77,3.67
5,安田　尚憲,.242,115,399,351,85,8,55,0,43,1,82,0,5,.323,.362,.685,4.22,4.33
3,角中　勝也,.244,107,326,275,67,0,29,1,40,4,51,2,4,.343,.320,.663,4.20,4.24
2,藤原　恭大,.217,78,254,217,47,5,22,7,23,5,55,5,3,.301,.350,.651,3.66,3.87
51,山口　航輝,.207,78,228,203,42,9,20,0,25,0,53,0,5,.294,.365,.658,3.38,3.57
55,エチェバリア,.203,79,216,207,42,4,24,0,6,0,40,0,6,.222,.314,.536,1.75,1.95
25,岡　大海,.242,110,185,161,39,6,18,11,14,5,44,5,6,.322,.391,.714,4.27,4.26
22,田村　龍弘,.235,70,165,136,32,0,14,1,17,0,33,10,1,.316,.301,.618,3.43,3.51
32,佐藤　都志也,.205,62,155,132,27,6,18,3,14,1,30,7,0,.284,.386,.670,3.91,4.08
66,加藤　匠馬,.095,57,123,105,10,2,4,0,4,0,52,14,1,.128,.171,.300,-0.34,-0.10
31,菅野　剛士,.194,33,75,67,13,2,5,1,5,1,20,2,4,.260,.343,.604,2.21,2.28
38,髙部　瑛斗,.145,33,69,55,8,1,6,4,7,0,19,7,1,.242,.218,.460,1.68,1.86
99,柿沼　友哉,.143,43,65,49,7,1,4,0,6,0,12,10,4,.236,.224,.461,0.51,0.67
0,鳥谷　敬,.170,32,61,53,9,0,2,0,8,0,11,0,0,.279,.226,.505,2.25,2.30
44,井上　晴哉,.196,23,53,51,10,1,6,0,1,1,8,0,4,.226,.275,.501,0.85,0.97
10,加藤　翔平,.220,20,44,41,9,1,2,0,1,0,8,2,0,.238,.390,.628,2.73,2.76
63,和田　康士朗,.263,96,24,19,5,0,1,24,5,0,8,0,0,.417,.316,.732,8.19,8.27
36,小窪　哲也,.056,7,19,18,1,1,2,0,0,0,5,0,0,.053,.222,.275,-0.56,0.36
7,福田　秀平,.083,4,13,12,1,0,2,1,1,0,4,0,0,.154,.167,.321,0.38,0.54
23,三木　亮,.111,84,11,9,1,0,2,1,1,0,2,1,1,.200,.222,.422,0.45,0.46
53,江村　直也,.167,19,10,6,1,0,0,1,2,0,4,2,0,.375,.167,.542,3.59,3.70
39,吉田　裕太,.111,7,10,9,1,1,1,0,1,0,3,0,0,.200,.444,.644,2.94,3.51
61,髙濱　卓也,.125,17,9,8,1,0,2,0,1,0,2,0,1,.222,.125,.347,-0.78,-0.61
57,小川　龍成,.000,20,6,6,0,0,0,2,0,0,2,0,0,.000,.000,.000,-1.24,-0.90
45,宗接　唯人,.000,3,1,1,0,0,0,0,0,0,1,0,0,.000,.000,.000,-2.92,-2.70
1,清田　育宏,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,平沢　大河,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
40,福田　光輝,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
50,松田　進,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
59,西川　僚祐,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
67,茶谷　健太,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
68,西巻　賢二,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
95,植田　将太,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
