,選手名,AVE,GAME,STAND,HIT_STAND,HIT,HOMERUN,HIT_POINT,STEEL,FOUR_BALL,DEAD_BALL,STRUCK_OUT,BANT,DUBBLE_PLAY,SURVIVED,LONG_HIT,OPS,RC27,XR27
1,大島　洋平,6,9,9,10,8,1,3,5,4,3,7,1,9,7,5,4,4,4
2,ビシエド,4,8,9,9,7,5,7,1,3,8,7,1,5,7,6,6,4,4
3,高橋　周平,2,9,9,9,6,3,3,1,4,1,6,1,2,6,4,4,3,3
4,京田　陽太,2,7,8,9,5,2,2,2,2,7,6,5,9,6,4,3,3,3
5,木下　拓哉,4,8,7,8,4,4,4,1,3,1,7,2,6,7,6,5,4,4
6,福田　永将,1,7,7,6,2,3,2,1,2,3,7,1,8,6,6,5,4,4
7,阿部　寿樹,1,4,5,5,1,3,1,1,1,1,8,3,7,4,4,2,2,2
8,堂上　直倫,1,4,5,5,1,3,2,1,1,1,8,3,6,3,4,2,2,2
9,福留　孝介,1,5,5,4,1,2,1,1,2,1,7,1,9,6,4,3,3,3
10,根尾　昂,1,4,4,4,1,1,1,1,1,2,7,1,10,4,2,1,1,1
11,三ツ俣　大樹,1,3,3,3,1,1,1,1,1,1,9,6,10,4,4,2,2,2
12,渡辺　勝,1,3,3,3,1,1,1,1,1,1,9,4,10,4,3,1,2,2
13,加藤　翔平,1,3,3,3,1,1,1,3,1,1,9,4,10,5,3,1,2,2
14,髙松　渡,2,4,3,3,1,1,1,5,1,1,8,4,10,4,3,1,2,2
15,Ａ．マルティネス,1,3,2,2,1,1,1,1,1,2,9,1,10,7,4,4,3,3
16,桂　依央利,2,2,2,2,1,1,1,1,1,1,9,2,10,4,6,4,3,3
17,井領　雅貴,1,2,2,2,1,1,1,1,1,1,9,1,10,4,4,3,2,2
18,岡林　勇希,2,2,2,2,1,1,1,1,1,1,10,1,10,4,4,2,2,2
19,平田　良介,1,2,2,2,1,1,1,1,1,1,10,1,10,2,3,1,1,1
