,選手名,AVE,GAME,STAND,HIT_STAND,HIT,HOMERUN,HIT_POINT,STEEL,FOUR_BALL,DEAD_BALL,STRUCK_OUT,BANT,DUBBLE_PLAY,SURVIVED,LONG_HIT,OPS,RC27,XR27
1,佐野　恵太,7,10,10,10,8,5,7,1,6,5,6,1,5,9,7,7,6,6
2,桑原　将志,8,9,9,10,8,4,4,4,4,4,6,3,6,8,7,7,6,5
3,宮﨑　敏郎,7,9,9,10,8,5,7,1,4,4,7,1,5,8,7,7,5,5
4,牧　秀悟,8,9,9,9,8,5,7,1,2,6,5,1,4,8,8,8,6,6
5,ソト,1,8,8,9,4,5,6,1,3,5,3,1,6,6,6,5,4,4
6,オースティン,7,6,8,8,6,6,7,1,6,5,3,1,7,10,10,10,8,8
7,大和,2,6,6,6,2,1,2,1,1,1,8,3,8,6,4,3,3,2
8,柴田　竜拓,1,5,6,5,2,1,1,1,2,1,8,6,10,6,4,3,3,3
9,伊藤　光,1,3,4,4,1,1,1,1,1,2,8,6,10,5,3,2,2,2
10,関根　大気,1,6,3,3,1,1,1,1,1,1,9,3,10,5,3,2,2,2
11,戸柱　恭孝,1,3,3,3,1,2,1,1,1,1,9,2,10,4,4,2,2,2
12,楠本　泰史,2,4,3,3,1,1,1,1,1,2,9,1,10,6,5,4,3,3
13,神里　和毅,1,5,3,3,1,2,1,1,1,1,7,1,10,3,4,2,2,2
14,森　敬斗,1,3,3,3,1,1,1,1,1,1,9,1,10,3,3,1,1,2
15,山本　祐大,1,3,3,2,1,1,1,1,1,1,9,4,10,1,1,1,1,1
16,嶺井　博希,1,2,2,2,1,1,1,1,1,2,9,1,10,4,2,1,1,1
17,倉本　寿彦,1,3,2,2,1,1,1,1,1,1,9,1,10,3,2,1,1,1
18,田中　俊太,1,3,2,1,1,1,1,1,1,1,9,2,10,3,1,1,1,1
19,山下　幸輝,1,3,2,2,1,1,1,1,1,1,10,1,10,3,2,1,1,1
