,選手名,AVE,GAME,STAND,HIT_STAND,HIT,HOMERUN,HIT_POINT,STEEL,FOUR_BALL,DEAD_BALL,STRUCK_OUT,BANT,DUBBLE_PLAY,SURVIVED,LONG_HIT,OPS,RC27,XR27
1,宗　佑磨,4,9,9,9,7,3,4,3,3,9,6,6,5,7,5,5,4,4
2,杉本　裕太郎,7,8,9,9,7,7,8,1,5,9,3,1,5,9,9,9,7,7
3,紅林　弘太郎,1,9,8,9,5,4,4,1,1,3,3,4,6,4,5,3,2,2
4,福田　周平,4,6,8,9,6,1,2,3,4,8,7,6,8,8,4,4,4,4
5,吉田　正尚,9,7,8,8,7,5,7,1,5,5,9,1,7,10,9,10,9,8
6,Ｔ－岡田,1,7,8,8,3,5,6,1,3,9,5,1,10,6,6,6,4,5
7,安達　了一,2,6,7,7,3,1,1,2,4,1,6,6,8,8,4,4,3,3
8,モヤ,1,6,7,8,3,4,4,1,1,1,5,1,6,4,5,3,2,3
9,伏見　寅威,1,5,6,5,2,2,2,1,1,3,8,3,9,4,4,2,2,2
10,ジョーンズ,1,4,4,4,1,2,2,1,2,3,8,1,8,7,4,4,3,3
11,中川　圭太,1,4,4,4,1,1,1,1,1,2,9,2,9,4,3,1,1,2
12,太田　椋,1,3,4,4,1,2,1,1,1,1,8,3,10,1,2,1,1,1
13,若月　健矢,1,4,3,3,1,3,1,1,1,2,9,5,10,5,5,4,3,3
14,頓宮　裕真,1,3,3,3,1,3,1,1,1,3,8,1,10,5,6,5,4,4
15,佐野　皓大,1,4,2,2,1,1,1,3,1,1,9,2,10,1,2,1,1,1
16,ロメロ,1,2,2,2,1,2,1,1,1,1,8,1,10,2,4,1,1,2
17,来田　涼斗,1,2,2,2,1,1,1,1,1,1,9,1,10,4,4,2,2,2
18,大城　滉二,1,3,2,2,1,1,1,1,1,2,10,3,10,3,2,1,1,1
