,選手名,AVE,GAME,STAND,HIT_STAND,HIT,HOMERUN,HIT_POINT,STEEL,FOUR_BALL,DEAD_BALL,STRUCK_OUT,BANT,DUBBLE_PLAY,SURVIVED,LONG_HIT,OPS,RC27,XR27
1,西川　龍馬,5,9,9,10,7,4,6,1,3,2,6,3,5,7,5,5,4,4
2,菊池　涼介,4,8,9,9,7,5,6,1,4,1,5,2,7,7,6,6,4,4
3,鈴木　誠也,8,8,9,9,7,8,8,3,8,6,5,1,8,10,10,10,10,9
4,坂倉　将吾,8,8,8,9,7,4,6,1,5,4,7,2,7,9,7,8,6,6
5,小園　海斗,6,7,8,9,7,3,3,1,1,3,7,6,8,6,5,5,4,4
6,林　晃汰,3,6,7,8,4,4,4,1,1,2,4,1,7,6,5,4,3,3
7,野間　峻祥,4,4,6,6,2,1,1,3,1,2,9,1,10,6,4,4,4,4
8,會澤　翼,2,4,5,4,1,2,2,1,1,4,8,1,7,7,5,4,3,3
9,松山　竜平,3,5,4,4,1,1,2,1,1,1,9,1,9,7,5,4,4,4
10,安部　友裕,2,5,4,4,1,1,1,1,1,1,7,1,10,6,4,3,3,3
11,田中　広輔,1,5,4,3,1,1,1,1,1,2,9,3,10,6,3,2,2,3
12,宇草　孔基,6,3,4,3,1,2,1,2,1,3,8,1,10,7,6,6,4,4
13,堂林　翔太,1,4,3,3,1,1,1,1,1,1,8,2,9,2,2,1,1,1
14,長野　久義,1,4,3,3,1,1,1,1,1,1,9,1,10,6,3,2,3,3
15,クロン,1,3,3,3,1,3,1,1,1,1,7,1,10,4,6,5,3,3
16,石原　貴規,1,4,3,3,1,2,1,1,1,1,9,2,8,5,5,3,2,2
17,羽月　隆太郎,2,2,3,3,1,1,1,2,1,1,9,4,10,6,5,4,4,3
18,上本　崇司,4,4,2,2,1,1,1,1,1,6,10,1,10,9,4,4,4,5
19,中村　奨成,5,2,2,2,1,1,1,1,1,1,10,1,10,9,7,7,6,6
