,選手名,AVE,GAME,STAND,HIT_STAND,HIT,HOMERUN,HIT_POINT,STEEL,FOUR_BALL,DEAD_BALL,STRUCK_OUT,BANT,DUBBLE_PLAY,SURVIVED,LONG_HIT,OPS,RC27,XR27
1,鈴木　大地,4,10,10,10,8,4,5,1,5,6,7,6,6,7,5,5,4,4
2,島内　宏明,2,9,9,9,6,5,9,1,9,8,5,2,5,9,7,8,6,6
3,浅村　栄斗,3,10,9,9,7,5,6,1,10,4,4,1,2,9,6,7,5,5
4,岡島　豪郎,5,8,9,9,6,3,5,1,2,8,4,3,7,7,6,5,4,4
5,茂木　栄五郎,2,8,8,9,5,4,5,2,4,6,3,1,8,7,6,6,5,5
6,小深田　大翔,1,8,8,8,4,2,2,2,4,3,6,7,10,7,4,3,3,3
7,辰己　涼介,1,8,8,8,3,4,3,2,5,6,4,6,8,7,4,4,3,3
8,太田　光,1,6,6,5,1,2,2,1,1,7,6,7,10,4,3,1,1,2
9,山﨑　剛,2,3,4,4,1,2,2,1,1,3,8,4,9,7,5,5,4,4
10,炭谷　銀仁朗,1,3,3,3,1,2,1,1,1,1,9,6,10,4,4,3,2,2
11,ディクソン,1,2,3,3,1,2,1,1,1,3,8,1,10,4,4,2,2,2
12,渡邊　佳明,4,3,3,2,1,1,1,1,1,1,9,2,10,8,4,4,3,3
13,オコエ　瑠偉,1,3,3,2,1,1,1,1,1,1,9,4,10,5,2,1,2,2
14,銀次,5,2,3,2,1,1,1,1,1,1,10,1,10,9,3,4,4,4
15,小郷　裕哉,1,2,2,2,1,1,1,1,1,2,9,2,10,4,4,2,2,2
16,黒川　史陽,1,2,2,2,1,1,1,1,1,1,9,1,10,3,3,1,1,1
17,カスティーヨ,1,2,2,2,1,1,1,1,1,1,9,1,10,5,3,2,2,2
18,横尾　俊建,1,2,2,2,1,1,1,1,1,6,10,1,10,4,2,1,1,1
19,田中　和基,1,4,2,2,1,1,1,1,1,1,9,1,10,3,1,1,1,1
20,内田　靖人,1,2,2,2,1,1,1,1,1,1,9,1,10,2,3,1,1,2
