,選手名,AVE,GAME,STAND,HIT_STAND,HIT,HOMERUN,HIT_POINT,STEEL,FOUR_BALL,DEAD_BALL,STRUCK_OUT,BANT,DUBBLE_PLAY,SURVIVED,LONG_HIT,OPS,RC27,XR27
1,西川　遥輝,1,8,9,9,5,2,3,6,8,4,4,2,10,8,4,4,4,4
2,近藤　健介,6,8,9,9,7,4,6,1,8,4,5,1,6,10,7,8,7,7
3,淺間　大基,2,8,8,9,5,3,3,3,3,5,3,4,9,6,4,3,3,3
4,髙濱　祐仁,3,6,8,8,4,3,4,1,2,1,5,6,7,6,5,4,3,3
5,野村　佑希,3,5,7,8,4,3,3,1,1,4,5,1,8,6,5,4,3,3
6,渡邉　諒,1,5,7,6,2,2,2,2,3,7,6,3,6,7,4,3,3,3
7,石井　一成,1,7,7,6,2,2,1,3,2,1,5,6,10,5,4,3,3,3
8,王　柏融,1,5,6,6,2,3,4,1,2,5,6,1,9,6,6,6,4,4
9,清水　優心,1,6,6,5,1,2,1,1,2,1,7,6,10,5,3,2,2,3
10,大田　泰示,1,4,5,4,1,2,2,1,1,1,7,1,7,4,3,2,1,1
11,中田　翔,1,2,4,3,1,2,1,1,1,1,8,1,9,4,4,2,2,2
12,万波　中正,1,3,3,3,1,3,1,1,1,2,7,1,10,3,6,3,2,2
13,Ｒ．ロドリゲス,1,3,3,3,1,3,1,1,1,1,8,1,10,2,6,3,2,3
14,石川　亮,1,4,3,3,1,1,1,1,1,1,9,6,10,2,2,1,1,1
15,中島　卓也,1,4,3,2,1,1,1,3,1,1,9,5,10,5,1,1,1,2
16,佐藤　龍世,1,3,3,3,1,1,1,1,1,1,8,1,10,5,2,1,2,2
17,松本　剛,3,3,3,2,1,1,1,1,1,2,10,2,10,7,3,3,3,3
18,杉谷　拳士,1,3,2,2,1,1,1,1,1,4,9,2,10,4,2,1,1,1
19,平沼　翔太,1,2,2,2,1,1,1,1,1,1,9,3,10,5,3,1,2,2
20,五十幡　亮汰,1,2,2,2,1,1,1,3,1,1,9,2,10,3,4,2,3,3
21,郡　拓也,1,2,2,2,1,1,1,1,1,1,9,1,10,4,2,1,1,1
22,宇佐見　真吾,1,2,2,1,1,1,1,1,1,1,9,3,10,4,1,1,1,1
23,樋口　龍之介,1,2,2,2,1,1,1,1,1,2,9,1,10,3,3,1,1,1
