,選手名,AVE,GAME,STAND,HIT_STAND,HIT,HOMERUN,HIT_POINT,STEEL,FOUR_BALL,DEAD_BALL,STRUCK_OUT,BANT,DUBBLE_PLAY,SURVIVED,LONG_HIT,OPS,RC27,XR27
1,岡本　和真,3,10,9,10,7,8,10,1,5,7,3,1,4,7,8,8,6,6
2,坂本　勇人,4,7,8,9,6,5,4,1,5,1,5,2,9,8,7,7,6,5
3,松原　聖弥,4,9,8,9,6,4,3,5,3,2,4,2,9,7,6,6,5,5
4,丸　佳浩,3,7,8,8,5,5,5,2,6,1,3,1,9,8,7,8,6,6
5,ウィーラー,5,8,8,8,6,5,5,1,3,8,6,1,4,8,7,7,5,5
6,大城　卓三,1,8,7,7,3,4,3,1,3,2,6,2,6,6,5,4,3,3
7,吉川　尚輝,4,6,7,7,3,3,2,3,1,2,7,2,9,6,5,4,4,4
8,梶谷　隆幸,5,4,5,5,2,2,2,4,1,3,8,1,10,7,5,5,4,4
9,若林　晃弘,1,5,5,5,2,3,1,1,2,2,7,2,10,6,5,4,3,4
10,亀井　善行,1,5,5,4,1,2,1,1,1,2,7,2,10,4,4,3,2,3
11,中島　宏之,4,5,4,4,1,3,2,1,1,3,8,1,7,6,6,5,4,4
12,スモーク,4,2,3,3,1,3,1,1,1,1,8,1,10,7,7,7,5,5
13,廣岡　大志,1,4,3,3,1,3,1,1,1,3,9,1,10,4,5,3,3,3
14,中田　翔,1,2,3,2,1,2,1,1,1,1,9,1,10,4,3,2,2,2
15,北村　拓己,2,3,3,2,1,2,1,1,1,1,9,2,9,6,6,5,4,4
16,重信　慎之介,1,4,2,2,1,1,1,2,1,1,9,1,10,5,4,3,3,3
17,小林　誠司,1,4,2,2,1,1,1,1,1,1,9,2,10,1,1,1,1,1
18,香月　一也,1,2,2,2,1,2,1,1,1,2,10,2,10,5,6,4,3,3
19,炭谷　銀仁朗,1,3,2,1,1,1,1,1,1,1,9,1,10,3,3,1,1,2
