,選手名,AVE,GAME,STAND,HIT_STAND,HIT,HOMERUN,HIT_POINT,STEEL,FOUR_BALL,DEAD_BALL,STRUCK_OUT,BANT,DUBBLE_PLAY,SURVIVED,LONG_HIT,OPS,RC27,XR27
1,森　友哉,7,8,9,9,7,4,4,2,7,6,6,1,9,10,7,8,7,7
2,源田　壮亮,4,7,9,9,6,1,2,6,3,2,6,7,9,6,4,4,3,3
3,呉　念庭,1,8,8,9,5,4,4,1,4,3,6,3,10,6,4,4,3,3
4,中村　剛也,5,8,8,9,6,5,7,1,3,2,3,1,6,7,6,6,5,5
5,栗山　巧,2,7,8,8,4,2,4,1,4,3,7,1,6,7,4,4,3,3
6,山川　穂高,1,7,8,8,3,5,6,1,4,7,3,1,8,6,7,6,5,5
7,岸　潤一郎,1,6,7,7,2,3,3,1,1,5,7,7,7,4,4,3,2,2
8,愛斗,1,5,7,6,2,3,3,1,1,6,7,2,9,4,5,3,3,3
9,外崎　修汰,1,4,7,6,2,3,1,3,3,2,7,4,10,6,4,4,3,3
10,金子　侑司,1,6,5,4,1,1,1,3,1,2,8,4,8,3,2,1,1,1
11,スパンジェンバーグ,1,4,5,4,1,3,2,1,2,3,6,1,9,7,6,6,4,4
12,川越　誠司,1,4,4,4,1,3,1,1,1,1,8,1,10,5,5,3,3,3
13,山田　遥楓,1,5,4,3,1,1,1,1,1,1,8,6,10,4,3,1,1,2
14,若林　楽人,4,3,4,3,1,1,1,6,1,4,8,2,10,7,5,5,4,4
15,ブランドン,1,2,2,2,1,2,1,1,1,1,9,1,10,4,6,4,3,3
16,柘植　世那,1,2,2,2,1,1,1,1,1,1,9,2,9,3,3,1,1,1
17,木村　文紀,1,2,2,2,1,1,1,1,1,1,9,2,10,2,2,1,1,1
18,岡田　雅利,1,2,2,1,1,1,1,1,1,2,10,4,10,3,2,1,1,1
