,選手名,AVE,GAME,STAND,HIT_STAND,HIT,HOMERUN,HIT_POINT,STEEL,FOUR_BALL,DEAD_BALL,STRUCK_OUT,BANT,DUBBLE_PLAY,SURVIVED,LONG_HIT,OPS,RC27,XR27
1,荻野　貴司,6,10,10,10,8,4,4,6,5,9,6,3,9,8,6,6,5,5
2,中村　奨吾,5,10,10,10,7,3,6,4,7,9,5,7,7,9,6,6,5,5
3,レアード,3,9,9,9,6,6,9,1,5,3,3,1,5,7,7,7,5,5
4,マーティン,1,7,8,9,4,6,7,1,7,9,2,1,7,8,8,8,6,6
5,藤岡　裕大,2,9,8,9,6,2,3,4,4,2,4,7,8,6,4,4,3,3
6,安田　尚憲,1,7,7,8,3,3,5,1,4,1,5,1,9,6,5,4,4,4
7,角中　勝也,1,6,7,6,2,1,2,1,4,4,7,2,9,7,4,4,4,4
8,藤原　恭大,1,4,6,5,1,3,2,3,2,5,7,3,10,6,5,4,3,3
9,山口　航輝,1,4,5,5,1,3,2,1,2,1,7,1,9,5,5,4,3,3
10,エチェバリア,1,4,5,5,1,2,2,1,1,1,8,1,8,2,4,1,1,1
11,岡　大海,1,7,4,4,1,3,1,4,1,5,8,3,8,6,5,5,4,4
12,田村　龍弘,1,4,4,3,1,1,1,1,1,1,8,6,10,6,4,3,3,3
13,佐藤　都志也,1,4,4,3,1,3,1,1,1,1,9,4,10,5,5,4,3,4
14,加藤　匠馬,1,3,3,3,1,1,1,1,1,1,7,6,10,1,1,1,1,1
15,菅野　剛士,1,2,2,2,1,1,1,1,1,1,9,2,9,4,4,3,2,2
16,髙部　瑛斗,1,2,2,2,1,1,1,1,1,1,9,4,10,3,2,1,1,1
17,柿沼　友哉,1,3,2,1,1,1,1,1,1,1,10,6,9,3,2,1,1,1
18,鳥谷　敬,1,2,2,2,1,1,1,1,1,1,10,1,10,5,2,1,2,2
19,井上　晴哉,1,2,2,2,1,1,1,1,1,1,10,1,9,3,3,1,1,1
