,選手名,AVE,GAME,STAND,HIT_STAND,HIT,HOMERUN,HIT_POINT,STEEL,FOUR_BALL,DEAD_BALL,STRUCK_OUT,BANT,DUBBLE_PLAY,SURVIVED,LONG_HIT,OPS,RC27,XR27
1,村上　宗隆,4,10,10,10,7,8,10,4,10,6,2,1,6,10,9,10,8,7
2,山田　哲人,4,9,9,9,7,7,10,1,7,5,4,1,7,8,8,8,6,6
3,塩見　泰隆,4,9,9,9,7,4,5,6,4,9,1,2,10,8,6,6,6,5
4,青木　宣親,2,8,9,9,6,3,5,1,4,9,8,1,7,7,5,5,4,4
5,オスナ,2,8,8,9,6,4,6,1,2,2,6,1,3,5,6,4,3,3
6,中村　悠平,4,8,8,8,5,1,3,1,4,4,6,6,7,8,5,5,4,4
7,サンタナ,6,7,8,8,5,5,6,1,4,3,3,1,6,8,8,8,6,6
8,西浦　直亨,1,5,6,5,2,3,2,1,2,3,7,3,7,5,4,3,2,3
9,山崎　晃大朗,1,7,5,5,2,1,1,3,1,1,7,6,10,6,4,3,3,3
10,元山　飛優,2,5,5,5,2,2,1,1,1,4,8,3,8,6,4,4,3,3
11,古賀　優大,1,3,3,3,1,1,1,1,1,1,9,3,10,4,2,1,1,1
12,川端　慎吾,10,5,2,2,1,1,1,1,1,1,9,1,10,10,7,9,7,7
13,宮本　丈,5,4,2,2,1,1,1,1,1,2,10,4,10,9,5,6,5,5
14,太田　賢吾,1,2,2,2,1,1,1,1,1,1,9,1,10,4,3,2,1,2
15,荒木　貴裕,1,6,2,2,1,1,1,1,1,1,10,4,10,4,2,1,1,1
16,坂口　智隆,1,2,2,2,1,1,1,1,1,2,10,1,10,4,1,1,1,1
17,内川　聖一,1,2,2,2,1,1,1,1,1,1,10,1,10,4,2,1,1,1
18,吉田　大成,1,1,2,1,1,1,1,1,1,1,10,1,10,9,4,5,4,4
