背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27
背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27
55,村上　宗隆,.278,143,615,500,139,39,112,12,106,6,133,0,12,.408,.566,.974,8.02,7.94
1,山田　哲人,.272,137,581,493,134,34,101,4,76,5,100,0,10,.370,.515,.885,6.71,6.84
9,塩見　泰隆,.278,140,534,474,132,14,59,21,48,10,156,2,1,.357,.441,.798,6.11,5.94
23,青木　宣親,.258,122,501,446,115,9,56,0,43,10,44,0,10,.335,.383,.719,4.58,4.50
13,オスナ,.258,120,495,469,121,13,60,3,22,2,80,0,18,.293,.401,.694,3.69,3.65
2,中村　悠平,.279,123,445,377,105,2,36,0,46,4,66,14,10,.360,.358,.718,4.44,4.37
25,サンタナ,.290,116,418,372,108,19,62,2,42,3,103,0,12,.366,.511,.877,6.45,6.27
3,西浦　直亨,.223,92,276,242,54,5,24,1,24,3,60,4,8,.298,.322,.620,2.95,3.09
31,山崎　晃大朗,.247,114,245,215,53,1,12,8,19,1,53,10,0,.311,.335,.646,3.86,3.76
6,元山　飛優,.255,97,235,208,53,3,17,2,17,4,42,5,7,.322,.332,.653,3.46,3.48
57,古賀　優大,.224,54,125,116,26,0,7,0,4,1,16,4,1,.256,.241,.498,1.87,1.88
5,川端　慎吾,.372,91,93,86,32,1,18,0,7,0,16,0,2,.419,.488,.908,7.96,7.30
39,宮本　丈,.286,62,92,70,20,1,8,0,12,2,10,6,0,.395,.386,.781,5.67,5.79
46,太田　賢吾,.222,29,79,72,16,0,5,3,5,0,18,1,3,.269,.292,.561,1.97,2.07
10,荒木　貴裕,.200,100,67,55,11,0,5,2,4,1,9,6,0,.262,.200,.462,1.69,1.98
42,坂口　智隆,.160,25,57,50,8,0,0,0,4,2,12,1,0,.250,.180,.430,0.62,0.86
7,内川　聖一,.208,38,56,53,11,0,2,0,2,1,12,0,3,.250,.226,.476,0.99,1.00
66,吉田　大成,.225,18,52,40,9,1,2,2,11,0,10,1,1,.392,.325,.717,4.84,4.96
49,渡邉　大樹,.171,94,42,35,6,0,3,5,1,1,9,5,1,.216,.229,.445,1.03,1.12
65,松本　友,.353,27,41,34,12,0,2,1,7,0,8,0,0,.463,.471,.934,9.86,8.97
0,奥村　展征,.050,16,21,20,1,0,0,0,1,0,5,0,1,.095,.050,.145,-1.98,-1.73
30,西田　明央,.111,11,19,18,2,0,0,0,1,0,4,0,0,.158,.111,.269,-0.49,-0.22
45,嶋　基宏,.200,17,15,10,2,0,0,0,3,0,1,2,1,.385,.200,.585,2.36,2.45
8,中山　翔太,.091,9,14,11,1,0,1,0,0,3,3,0,0,.286,.091,.377,1.18,1.62
58,長岡　秀樹,.000,5,10,9,0,0,0,0,1,0,4,0,0,.100,.000,.100,-1.88,-1.50
0,並木　秀尊,.250,27,6,4,1,0,2,4,0,1,1,1,0,.400,.500,.900,11.36,10.40
33,内山　壮真,.000,6,6,5,0,0,0,0,1,0,1,0,1,.167,.000,.167,-2.42,-2.21
60,武岡　龍世,.250,1,4,4,1,0,0,0,0,0,0,0,0,.250,.250,.500,2.05,2.07
41,雄平,.500,1,2,2,1,0,0,0,0,0,0,0,0,.500,.500,1.000,12.30,11.07
32,松本　直樹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
51,濱田　太貴,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
59,大村　孟,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
