背番号,選手名,防御率,試合,勝利,敗北,セlブ,ホlルド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
背番号,選手名,防御率,試合,勝利,敗北,セlブ,ホlルド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
21,今永　昇太,3.08,19,5,5,0,0,.500,476,120.0,97,16,26,4,110,43,41,1.03,3.70
16,大貫　晋一,4.34,22,6,7,0,0,.462,499,112.0,137,9,30,3,106,57,54,1.49,3.10
26,濵口　遥大,3.94,17,5,7,0,0,.417,387,91.1,73,8,52,3,84,42,40,1.37,4.19
42,ロメロ,3.01,14,5,3,0,0,.625,349,80.2,89,4,30,5,44,38,27,1.48,3.98
48,京山　将弥,4.97,16,2,7,0,0,.222,353,76.0,91,9,41,2,67,47,42,1.74,4.51
20,坂本　裕哉,5.25,16,4,6,0,0,.400,310,70.1,89,9,22,3,46,43,41,1.58,4.54
62,エスコバー,3.38,61,4,4,1,32,.500,229,58.2,39,7,11,4,50,23,22,0.85,3.73
17,三嶋　一輝,4.08,59,3,5,23,1,.375,246,57.1,66,8,12,0,57,31,26,1.36,3.52
19,山﨑　康晃,3.27,60,3,2,1,27,.600,229,55.0,58,2,14,3,39,21,20,1.31,3.05
45,ピープルズ,4.21,18,3,4,0,0,.429,191,47.0,41,5,14,2,41,23,22,1.17,3.78
47,砂田　毅樹,3.24,58,2,2,0,18,.500,166,41.2,26,1,13,2,27,15,15,0.94,3.07
34,平田　真吾,4.10,38,2,0,1,3,1.000,185,41.2,41,6,21,2,34,21,19,1.49,4.94
41,櫻井　周斗,3.07,30,0,1,0,1,.000,181,41.0,36,3,29,0,37,15,14,1.59,4.32
14,石田　健大,5.73,33,1,2,0,2,.333,168,37.2,44,4,18,2,39,24,24,1.65,3.94
13,伊勢　大夢,2.80,39,0,1,0,6,.000,144,35.1,30,0,15,1,38,11,11,1.27,2.16
35,三上　朋也,3.86,40,2,1,0,3,.667,148,35.0,36,5,9,1,25,15,15,1.29,4.32
12,阪口　皓亮,4.11,8,2,3,0,0,.400,160,35.0,37,4,19,1,18,20,16,1.60,5.29
27,上茶谷　大河,7.15,8,1,3,0,0,.250,155,34.0,37,5,17,1,26,27,27,1.59,5.00
49,シャッケルフォード,5.17,32,1,0,1,4,1.000,141,31.1,28,3,16,5,34,19,18,1.40,4.21
92,国吉　佑樹,5.16,18,1,1,0,0,.500,125,29.2,24,1,13,1,37,18,17,1.25,2.38
93,中川　虎大,6.49,7,0,1,0,0,.000,122,26.1,32,3,15,0,24,22,19,1.78,4.49
11,東　克樹,2.29,3,1,2,0,0,.333,75,19.2,10,1,4,0,20,5,5,0.71,2.36
22,入江　大生,7.85,4,0,4,0,0,.000,80,18.1,22,4,5,1,14,18,16,1.47,5.41
65,宮國　椋丞,6.19,3,1,1,0,0,.500,68,16.0,18,3,5,0,14,11,11,1.44,4.75
59,平良　拳太郎,0.90,2,0,0,0,0,.000,39,10.0,6,0,3,0,6,1,1,0.90,2.82
64,風張　蓮,7.71,5,0,0,0,0,.000,33,7.0,12,2,0,0,6,6,6,1.71,5.12
53,池谷　蒼大,0.00,6,0,0,0,0,.000,25,6.2,2,0,2,1,2,0,0,0.60,3.87
67,有吉　優樹,2.70,1,0,1,0,0,.000,27,6.2,8,1,0,0,3,2,2,1.20,4.17
46,田中　健二朗,0.00,8,0,0,0,0,.000,18,4.2,3,0,2,1,6,0,0,1.07,2.48
43,進藤　拓也,0.00,2,0,0,0,0,.000,6,1.0,0,0,1,2,1,0,0,1.00,10.12
94,笠井　崇正,54.00,1,0,0,0,0,.000,11,1.0,5,1,2,1,1,6,6,7.00,23.12
58,武藤　祐太,0.00,1,0,0,0,0,.000,1,0.1,0,0,0,0,1,0,0,0.00,-2.88
24,齋藤　俊介,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,勝又　温史,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,飯塚　悟史,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
40,松本　隆之介,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
54,浅田　将汰,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
56,髙田　琢登,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
