背番号,選手名,防御率,試合,勝利,敗北,セlブ,ホlルド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
背番号,選手名,防御率,試合,勝利,敗北,セlブ,ホlルド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
18,山本　由伸,1.39,26,18,5,0,0,.783,736,193.2,124,7,40,2,206,37,30,0.85,2.10
13,宮城　大弥,2.51,23,13,4,0,0,.765,594,147.0,118,9,39,9,131,44,41,1.07,3.09
29,田嶋　大樹,3.58,24,8,8,0,0,.500,608,143.1,137,10,48,5,135,62,57,1.29,3.23
11,山﨑　福也,3.56,22,8,10,0,0,.444,473,116.1,111,13,24,6,75,47,46,1.16,4.06
17,増井　浩俊,4.94,15,3,6,0,1,.333,309,71.0,77,8,29,2,45,47,39,1.49,4.63
19,山岡　泰輔,3.89,12,3,4,0,0,.429,297,69.1,64,7,20,3,74,30,30,1.21,3.29
21,竹安　大知,4.44,17,3,2,0,0,.600,207,48.2,48,4,19,1,26,26,24,1.38,4.35
28,富山　凌雅,2.72,51,2,1,0,20,.667,189,46.1,37,2,17,0,34,16,14,1.17,3.31
52,ヒギンス,2.53,49,1,2,2,28,.333,195,46.1,37,3,19,1,36,14,13,1.21,3.70
57,山田　修義,2.27,43,1,0,0,9,1.000,186,43.2,38,2,19,1,35,14,11,1.31,3.35
16,平野　佳寿,2.30,46,1,3,29,3,.250,163,43.0,30,4,9,0,37,11,11,0.91,3.24
63,山﨑　颯一郎,3.69,9,2,2,0,0,.500,169,39.0,32,1,20,5,29,16,16,1.33,3.89
30,Ｋ－鈴木,3.03,34,1,0,2,2,1.000,164,38.2,34,2,14,1,28,15,13,1.24,3.35
65,漆原　大晟,3.03,34,2,2,2,4,.500,148,35.2,30,4,14,1,23,13,12,1.23,4.47
26,能見　篤史,4.03,26,0,0,2,5,.000,103,22.1,26,2,11,3,19,11,10,1.66,4.19
35,比嘉　幹貴,1.77,32,1,0,0,11,1.000,75,20.1,14,2,4,0,15,4,4,0.89,2.92
66,吉田　凌,2.12,18,1,1,0,4,.500,62,17.0,7,3,4,0,17,5,4,0.65,4.12
56,スパークマン,6.88,6,0,1,0,0,.000,73,17.0,15,4,8,1,14,13,13,1.35,6.12
49,澤田　圭佑,3.86,14,0,0,0,6,.000,59,14.0,15,0,3,1,14,6,6,1.29,1.98
22,村西　良太,3.75,18,1,0,1,5,1.000,62,12.0,15,1,9,2,7,7,5,2.00,5.79
47,海田　智行,2.61,16,0,1,0,5,.000,43,10.1,8,0,4,0,5,3,3,1.16,3.02
58,金田　和之,4.35,9,0,0,0,0,.000,45,10.1,8,3,5,2,6,5,5,1.26,7.77
98,張　奕,13.06,8,0,1,0,3,.000,54,10.1,21,4,2,0,15,15,15,2.23,5.83
68,鈴木　優,9.00,11,0,0,0,0,.000,45,10.0,9,4,5,2,10,10,10,1.40,8.42
46,本田　仁海,7.45,2,0,1,0,0,.000,45,9.2,13,2,5,0,4,8,8,1.86,6.53
59,バルガス,11.00,5,1,1,0,1,.500,45,9.0,13,4,4,1,7,11,11,1.89,9.01
45,阿部　翔太,7.36,4,0,0,0,0,.000,16,3.2,4,1,1,0,3,3,3,1.36,5.85
48,齋藤　綱記,10.13,4,0,0,0,0,.000,12,2.2,2,1,2,0,3,3,3,1.50,8.00
61,榊原　翼,15.43,1,0,0,0,0,.000,16,2.1,4,0,5,0,2,4,4,3.86,7.83
37,中川　颯,0.00,1,0,0,0,0,.000,5,1.0,2,0,0,0,0,0,0,2.00,3.12
12,山下　舜平大,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,吉田　一将,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,荒西　祐大,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
32,ディクソン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
39,飯田　優也,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
43,前　佑囲斗,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
54,黒木　優太,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
95,神戸　文也,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
