背番号,選手名,防御率,試合,勝利,敗北,セlブ,ホlルド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
背番号,選手名,防御率,試合,勝利,敗北,セlブ,ホlルド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
18,森下　暢仁,2.98,24,8,7,0,0,.533,672,163.1,144,16,52,3,132,55,54,1.20,3.73
11,九里　亜蓮,3.81,25,13,9,0,0,.591,647,149.0,150,18,51,8,102,73,63,1.35,4.49
14,大瀬良　大地,3.07,23,10,5,0,0,.667,600,146.2,136,12,31,5,102,57,50,1.14,3.49
65,玉村　昇悟,3.83,17,4,7,0,0,.364,432,101.0,95,13,40,1,67,47,43,1.34,4.62
28,床田　寛樹,3.19,16,5,4,0,1,.556,374,87.1,91,5,24,2,80,32,31,1.32,2.93
34,高橋　昂也,5.28,15,5,7,0,0,.417,326,73.1,85,9,24,2,54,44,43,1.49,4.31
98,コルニエル,3.82,50,1,2,0,10,.333,269,61.1,56,8,28,3,79,31,26,1.37,3.76
12,大道　温貴,4.75,24,4,4,0,3,.500,230,53.0,50,4,25,2,35,30,28,1.42,4.31
20,栗林　良吏,0.86,53,0,1,37,0,.000,201,52.1,23,1,28,1,81,5,5,0.97,1.82
43,島内　颯太郎,3.12,51,0,2,0,15,.000,205,49.0,44,4,14,0,51,20,17,1.18,2.96
13,森浦　大輔,3.17,54,3,3,0,17,.500,206,48.1,39,3,21,4,41,18,17,1.24,3.72
36,塹江　敦哉,4.25,51,5,4,0,17,.556,202,42.1,48,4,25,1,29,25,20,1.72,4.68
29,ケムナ　誠,4.58,40,2,2,0,12,.500,175,39.1,45,4,15,2,28,20,20,1.53,4.24
19,野村　祐輔,6.31,8,0,4,0,0,.000,171,35.2,48,6,17,2,29,25,25,1.82,5.11
39,菊池　保則,1.71,33,2,1,0,3,.667,140,31.2,31,3,13,3,25,7,6,1.39,4.10
46,高橋　樹也,1.37,27,0,0,0,0,.000,108,26.1,20,3,10,1,16,10,4,1.14,4.64
42,バード,4.57,33,0,0,0,11,.000,98,21.2,21,0,13,2,21,11,11,1.57,3.26
26,中田　廉,4.74,23,0,0,0,6,.000,89,19.0,20,3,12,1,16,14,10,1.68,5.54
67,中村　祐太,11.08,3,0,3,0,0,.000,65,13.0,21,3,5,0,6,17,16,2.00,6.35
41,矢崎　拓也,11.57,4,0,0,0,0,.000,34,7.0,7,1,7,0,6,9,9,2.00,6.26
66,遠藤　淳志,6.75,2,0,0,0,0,.000,36,6.2,9,2,6,1,11,6,5,2.25,6.87
97,フランスア,9.53,8,1,2,0,1,.333,31,5.2,9,1,5,0,5,6,6,2.47,5.77
58,藤井　黎來,12.71,5,0,0,0,0,.000,32,5.2,11,1,3,1,7,8,8,2.47,5.06
23,薮田　和樹,3.86,1,0,0,0,0,.000,20,4.2,3,0,5,0,2,2,2,1.71,5.48
21,中﨑　翔太,13.50,4,0,0,0,0,.000,24,4.0,9,0,2,0,1,8,6,2.75,4.12
53,小林　樹斗,9.82,1,0,0,0,0,.000,20,3.2,6,0,2,0,6,6,4,2.18,1.48
99,ネバラスカス,10.13,1,0,1,0,0,.000,15,2.2,3,0,5,0,2,3,3,3.00,7.25
16,今村　猛,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,岡田　明丈,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,一岡　竜司,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
47,山口　翔,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
48,アドゥワ　誠,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
52,鈴木　寛人,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
57,田中　法彦,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
64,中村　恭平,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
68,行木　俊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
70,スコット,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
