背番号,選手名,防御率,試合,勝利,敗北,セlブ,ホlルド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
背番号,選手名,防御率,試合,勝利,敗北,セlブ,ホlルド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
17,柳　裕也,2.20,26,11,6,0,0,.647,676,172.0,133,11,41,3,168,47,42,1.01,2.75
11,小笠原　慎之介,3.64,25,8,10,0,0,.444,615,143.1,141,16,51,4,115,60,58,1.34,4.10
22,大野　雄大,2.95,22,7,11,0,0,.389,566,143.1,121,12,26,2,118,48,47,1.03,3.13
24,福谷　浩司,4.53,18,5,10,0,0,.333,432,103.1,112,10,17,1,73,55,52,1.25,3.46
41,勝野　昌慶,3.74,17,3,6,0,0,.333,391,91.1,92,9,31,2,67,38,38,1.35,3.92
38,松葉　貴大,3.20,14,6,5,0,0,.545,309,76.0,74,7,15,2,41,30,27,1.17,3.91
16,又吉　克樹,1.28,66,3,2,8,33,.600,245,63.1,47,2,22,1,41,11,9,1.09,3.23
67,ロドリゲス,3.65,12,1,4,0,0,.200,275,61.2,56,8,38,5,61,29,25,1.52,4.82
54,藤嶋　健人,1.59,48,1,0,0,5,1.000,200,51.0,35,3,13,0,38,9,9,0.94,3.16
33,祖父江　大輔,2.59,55,1,2,5,19,.333,208,48.2,59,1,9,1,30,18,14,1.40,2.77
97,Ｒ．マルティネス,2.06,49,1,4,23,0,.200,178,48.0,26,1,10,1,59,11,11,0.75,1.56
34,福　敬登,3.18,57,2,2,0,20,.500,185,45.1,37,4,15,3,38,16,16,1.15,3.65
13,橋本　侑樹,3.71,28,0,0,0,1,.000,112,26.2,26,0,8,1,28,11,11,1.28,1.92
14,谷元　圭介,2.01,32,1,1,0,14,.500,92,22.1,23,3,1,1,18,6,5,1.07,3.52
46,鈴木　博志,5.31,18,2,0,0,0,1.000,91,20.1,22,2,5,2,11,12,12,1.33,4.35
47,笠原　祥太郎,6.30,4,0,2,0,0,.000,94,20.0,20,4,17,0,13,14,14,1.85,6.82
12,田島　慎二,2.45,22,2,1,0,8,.667,74,18.1,15,0,6,0,22,5,5,1.15,1.70
21,岡田　俊哉,4.86,19,0,1,0,0,.000,74,16.2,23,1,6,0,10,9,9,1.74,3.78
59,山本　拓実,6.43,9,1,0,0,0,1.000,67,14.0,16,1,8,1,12,10,10,1.71,4.26
28,森　博人,3.00,10,0,0,0,0,.000,58,12.0,11,0,9,3,15,4,4,1.67,3.62
18,梅津　晃大,1.59,3,0,1,0,0,.000,51,11.1,6,0,10,2,7,3,2,1.41,5.06
42,ロサリオ,3.00,9,0,0,0,0,.000,40,9.0,8,1,6,2,3,4,3,1.56,6.56
36,岡野　祐一郎,9.00,2,0,2,0,0,.000,40,8.0,13,0,2,1,3,10,8,1.88,3.12
43,三ツ間　卓也,6.75,5,0,0,0,0,.000,28,5.1,10,1,1,0,6,5,4,2.06,3.87
25,佐藤　優,13.50,4,0,0,0,0,.000,32,5.1,13,1,2,0,4,11,8,2.81,5.18
50,清水　達也,2.25,1,0,1,0,0,.000,19,4.0,5,0,4,0,1,1,1,2.25,5.62
70,近藤　廉,4.50,2,0,0,0,0,.000,10,2.0,1,0,3,0,2,1,1,2.00,5.62
29,山井　大介,0.00,1,0,0,0,0,.000,1,0.1,0,0,0,0,1,0,0,0.00,-2.88
19,髙橋　宏斗,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
40,石川　翔,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
53,マルク,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
64,福島　章太,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
65,加藤　翼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
69,濱田　達郎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98,木下　雄介,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
