背番号,選手名,防御率,試合,勝利,敗北,セlブ,ホlルド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
背番号,選手名,防御率,試合,勝利,敗北,セlブ,ホlルド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
18,田中　将大,3.01,23,4,9,0,0,.308,624,155.2,131,17,29,5,126,54,52,1.03,3.58
11,岸　孝之,3.44,25,9,10,0,0,.474,620,149.0,149,17,34,1,131,62,57,1.23,3.55
14,則本　昂大,3.17,23,11,5,0,0,.688,584,144.2,123,18,35,3,152,56,51,1.09,3.42
21,早川　隆久,3.86,24,9,7,0,0,.563,565,137.2,132,11,30,2,127,59,59,1.18,2.99
57,瀧中　瞭太,3.21,20,10,5,0,0,.667,427,103.2,97,10,27,4,75,40,37,1.20,3.82
16,涌井　秀章,5.04,21,6,8,0,0,.429,420,96.1,110,7,26,2,76,57,54,1.41,3.36
43,宋　家豪,2.23,63,3,3,7,24,.500,246,60.2,46,2,23,2,49,18,15,1.14,3.07
62,西口　直人,3.28,33,5,2,0,3,.714,239,57.2,46,7,23,2,55,23,21,1.20,3.99
20,安樂　智大,2.08,58,3,3,2,22,.500,240,56.1,45,4,33,2,50,13,13,1.38,4.13
28,酒居　知史,2.28,54,4,3,3,28,.571,206,51.1,33,3,24,0,44,15,13,1.11,3.51
1,松井　裕樹,0.63,43,0,2,24,0,.000,172,43.0,22,1,21,1,59,3,3,1.00,2.14
13,森原　康平,2.78,34,0,0,0,3,.000,132,32.1,29,3,8,0,30,10,10,1.14,3.03
32,ブセニッツ,4.97,31,1,0,0,4,1.000,124,29.0,32,1,9,0,23,16,16,1.41,2.91
64,福山　博之,2.38,24,0,2,0,4,.000,101,22.2,23,3,12,0,13,6,6,1.54,5.28
31,福井　優也,4.43,19,0,0,0,0,.000,82,20.1,17,3,6,0,21,10,10,1.13,3.86
22,牧田　和久,3.31,17,0,0,0,2,.000,72,16.1,17,2,3,1,5,10,6,1.22,4.83
23,弓削　隼人,7.24,5,1,1,0,0,.500,65,13.2,20,0,6,1,6,11,11,1.90,3.78
60,石橋　良太,3.46,3,0,1,0,0,.000,56,13.0,12,2,6,1,4,5,5,1.38,6.12
40,内間　拓馬,5.91,11,0,0,0,0,.000,45,10.2,9,0,4,1,16,7,7,1.22,1.53
52,津留﨑　大成,5.06,11,0,0,0,1,.000,47,10.2,11,0,5,0,7,6,6,1.50,2.93
53,髙田　萌生,9.39,4,0,1,0,0,.000,39,7.2,13,1,5,0,8,9,8,2.35,4.69
29,高田　孝一,1.35,3,0,0,0,0,.000,28,6.2,6,1,1,1,6,2,1,1.05,4.17
45,渡邊　佑樹,5.40,9,0,0,0,2,.000,23,5.0,5,1,2,2,4,3,3,1.40,6.52
17,塩見　貴洋,3.60,1,0,0,0,0,.000,21,5.0,5,0,1,0,4,2,2,1.20,2.12
56,鈴木　翔天,0.00,5,0,0,0,0,.000,19,4.1,3,0,4,0,5,0,0,1.62,3.58
41,釜田　佳直,11.25,1,0,0,0,0,.000,19,4.0,8,1,1,0,2,5,5,2.25,6.12
59,菅原　秀,16.88,1,0,0,0,0,.000,16,2.2,2,0,5,1,0,5,5,2.63,9.87
19,藤平　尚真,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
39,引地　秀一郎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
47,藤井　聖,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
49,福森　耀真,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
58,辛島　航,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
61,佐藤　智輝,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
68,寺岡　寛治,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
69,内　星龍,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
71,コンリー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
72,池田　駿,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
