背番号,選手名,防御率,試合,勝利,敗北,セlブ,ホlルド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
背番号,選手名,防御率,試合,勝利,敗北,セlブ,ホlルド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
15,上沢　直之,2.81,24,12,6,0,0,.667,643,160.1,119,8,48,4,135,53,50,1.04,3.04
14,加藤　貴之,3.42,25,6,7,0,0,.462,595,150.0,136,13,21,3,102,61,57,1.05,3.35
17,伊藤　大海,2.90,23,10,9,0,0,.526,610,146.0,125,8,53,6,141,51,47,1.22,3.09
36,バーヘイゲン,3.84,20,5,8,0,0,.385,407,96.0,90,7,33,6,100,45,41,1.28,3.17
28,河野　竜生,2.99,40,3,6,0,9,.333,376,90.1,74,7,31,4,68,35,30,1.16,3.72
52,池田　隆英,3.94,18,3,10,0,1,.231,364,82.1,88,11,35,5,52,42,36,1.49,5.05
33,立野　和明,2.45,11,4,3,0,0,.571,224,55.0,39,3,23,3,47,16,15,1.13,3.54
57,杉浦　稔大,2.96,56,3,3,28,1,.500,221,54.2,34,9,24,1,69,18,18,1.06,3.94
34,堀　瑞輝,2.36,60,3,2,0,39,.600,229,53.1,36,3,30,4,56,14,14,1.24,3.61
41,Ｂ．ロドリゲス,2.74,47,0,2,3,24,.000,194,46.0,40,4,20,3,34,17,14,1.30,4.14
25,宮西　尚生,3.65,50,1,2,0,15,.333,189,44.1,42,3,15,4,49,20,18,1.29,3.01
54,玉井　大翔,3.16,50,0,0,0,8,.000,185,42.2,41,2,19,4,23,18,15,1.41,4.13
29,井口　和朋,1.86,43,1,2,0,11,.333,151,38.2,24,4,10,2,33,11,8,0.88,3.69
44,アーリン,3.32,11,2,3,0,0,.400,161,38.0,40,3,11,2,33,15,14,1.34,3.44
19,金子　弌大,6.21,8,0,4,0,0,.000,149,33.1,42,4,13,3,22,23,23,1.65,4.71
35,西村　天裕,3.48,27,0,0,0,1,.000,139,31.0,33,2,12,3,32,16,12,1.45,3.15
47,鈴木　健矢,4.19,21,0,0,0,0,.000,84,19.1,17,1,7,3,11,10,9,1.24,3.90
20,上原　健太,3.97,11,0,0,0,0,.000,47,11.1,8,0,6,0,11,5,5,1.24,2.50
58,谷川　昌希,5.23,9,1,0,0,0,1.000,43,10.1,9,1,4,0,8,7,6,1.26,3.99
39,秋吉　亮,2.70,10,0,0,0,0,.000,42,10.0,7,0,4,0,8,3,3,1.10,2.42
31,村田　透,9.31,8,0,0,0,0,.000,53,9.2,18,1,9,0,5,10,10,2.79,6.22
49,公文　克彦,3.68,10,0,0,0,0,.000,34,7.1,12,1,2,1,6,3,3,1.91,4.48
13,生田目　翼,1.50,1,1,0,0,0,1.000,22,6.0,1,0,3,1,5,1,1,0.67,3.45
63,北浦　竜次,3.38,3,0,0,0,0,.000,23,5.1,5,1,2,0,4,2,2,1.31,5.18
40,福田　俊,11.57,5,0,0,0,0,.000,25,4.2,9,1,1,0,3,8,6,2.14,5.26
62,望月　大希,2.25,2,0,0,0,0,.000,16,4.0,2,0,3,0,1,1,1,1.25,4.87
43,長谷川　凌汰,7.36,5,0,0,0,2,.000,16,3.2,2,0,3,0,1,3,3,1.36,5.03
18,吉田　輝星,9.00,1,0,1,0,0,.000,14,2.0,4,1,3,0,2,7,2,3.50,12.12
1,斎藤　佑樹,-,1,0,0,0,0,.000,1,0.0,0,0,1,0,0,0,0,-,-
37,柿木　蓮,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,田中　瑛斗,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
51,石川　直也,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
59,根本　悠楓,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
