背番号,選手名,防御率,試合,勝利,敗北,セlブ,ホlルド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
背番号,選手名,防御率,試合,勝利,敗北,セlブ,ホlルド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
29,石川　柊太,3.40,28,6,9,0,0,.400,653,156.1,135,22,51,17,134,70,59,1.19,4.54
37,マルティネス,1.60,21,9,4,0,0,.692,553,140.2,108,6,38,5,138,25,25,1.04,2.63
21,和田　毅,4.48,18,5,6,0,0,.455,396,94.1,95,14,27,3,83,49,47,1.29,4.21
41,千賀　滉大,2.66,13,10,3,0,0,.769,340,84.2,60,2,27,2,90,25,25,1.03,2.33
18,武田　翔太,2.68,12,4,5,0,0,.444,314,77.1,66,7,24,2,73,23,23,1.16,3.42
16,東浜　巨,3.70,14,4,4,0,0,.500,326,75.1,85,7,22,3,61,36,31,1.42,3.70
66,松本　裕樹,3.79,33,3,3,0,4,.500,306,73.2,64,9,28,2,59,33,31,1.25,4.29
67,笠谷　俊介,4.27,16,3,4,0,0,.429,262,59.0,52,12,35,2,64,30,28,1.47,5.48
17,岩嵜　翔,4.17,48,2,5,6,14,.286,179,45.1,37,7,11,0,56,21,21,1.06,3.25
26,レイ,2.03,6,3,1,0,0,.750,150,40.0,22,3,13,3,38,10,9,0.88,3.40
50,板東　湧梧,2.52,44,0,2,1,16,.000,165,39.1,28,4,17,2,41,13,11,1.14,3.73
28,高橋　礼,5.82,11,1,1,0,0,.500,168,34.0,31,3,32,6,14,25,22,1.85,6.80
11,津森　宥紀,2.18,45,1,0,0,11,1.000,132,33.0,24,2,8,2,43,8,8,0.97,2.12
35,モイネロ,1.15,33,1,0,5,14,1.000,128,31.1,15,2,19,1,42,6,4,1.09,2.99
38,森　唯斗,4.03,30,1,3,15,0,.250,118,29.0,20,6,10,0,26,13,13,1.03,5.05
57,嘉弥真　新也,4.71,58,1,0,0,19,1.000,121,28.2,22,2,13,1,27,16,15,1.22,3.50
53,泉　圭輔,2.73,31,1,2,0,6,.333,111,26.1,20,4,13,3,30,10,8,1.25,4.64
40,杉山　一樹,3.20,15,2,2,0,1,.500,117,25.1,13,1,31,2,29,9,9,1.74,5.25
2,スチュワート・ジュニア,6.08,11,0,2,0,1,.000,112,23.2,21,0,21,1,36,18,16,1.77,2.87
42,大関　友久,2.35,12,0,0,0,0,.000,88,23.0,12,1,10,2,13,6,6,0.96,4.12
56,田浦　文丸,3.38,19,1,0,0,1,1.000,90,21.1,22,1,7,0,17,8,8,1.36,2.98
20,甲斐野　央,4.35,22,0,2,1,4,.000,88,20.2,16,3,10,2,25,10,10,1.26,4.33
25,田中　正義,2.16,18,0,0,0,1,.000,67,16.2,9,2,8,0,14,5,4,1.02,4.44
49,古谷　優人,2.03,13,1,1,0,2,.500,56,13.1,7,0,7,1,13,4,3,1.05,2.97
13,二保　旭,4.76,2,0,1,0,0,.000,53,11.1,12,0,5,1,8,7,6,1.50,3.30
47,髙橋　純平,0.00,10,1,1,0,2,.500,46,11.0,6,0,6,1,9,1,0,1.09,3.39
39,尾形　崇斗,0.87,8,0,0,0,0,.000,34,10.1,3,1,2,0,9,1,1,0.48,3.22
48,渡邉　雄大,4.50,6,0,0,0,1,.000,18,4.0,6,0,1,0,4,2,2,1.75,1.87
10,大竹　耕太郎,15.75,2,0,1,0,1,.000,22,4.0,7,0,3,0,1,7,7,2.50,4.87
63,川原　弘之,7.71,3,0,0,0,0,.000,14,2.1,3,0,3,1,2,2,2,2.57,6.55
34,椎野　新,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
58,サファテ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
61,奥村　政稔,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
70,田上　奏大,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
