背番号,選手名,防御率,試合,勝利,敗北,セlブ,ホlルド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
背番号,選手名,防御率,試合,勝利,敗北,セlブ,ホlルド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
13,髙橋　光成,3.78,27,11,9,0,0,.550,728,173.2,157,23,62,6,127,81,73,1.26,4.55
11,今井　達也,3.30,25,8,8,0,0,.500,682,158.1,123,15,99,11,137,66,58,1.40,4.69
17,松本　航,3.79,28,10,8,0,0,.556,638,149.2,137,15,64,4,130,63,63,1.34,4.05
25,平井　克典,4.22,25,4,4,0,2,.500,327,74.2,85,7,19,6,55,40,35,1.39,3.87
61,平良　海馬,0.90,62,3,4,20,21,.429,247,60.0,36,0,28,5,70,6,6,1.07,2.34
54,ニール,5.85,11,1,6,0,0,.143,262,60.0,76,3,15,3,26,41,39,1.52,3.80
33,ギャレット,3.77,61,4,3,2,17,.571,258,57.1,57,6,33,0,59,28,24,1.57,4.15
12,渡邉　勇太朗,3.44,17,4,4,0,2,.500,232,55.0,43,3,30,3,33,24,21,1.33,4.43
28,森脇　亮介,4.02,45,3,1,1,13,.750,184,40.1,42,3,22,2,29,18,18,1.59,4.36
21,十亀　剣,3.38,40,1,1,0,8,.500,176,40.0,41,1,19,2,26,18,15,1.50,3.72
44,與座　海人,2.79,15,1,1,0,1,.500,157,38.2,31,3,10,4,28,12,12,1.06,3.77
20,浜屋　将太,6.63,8,1,6,0,0,.143,174,36.2,39,8,26,4,26,27,27,1.77,6.99
98,ダーモディ,5.13,11,0,2,0,0,.000,151,33.1,46,2,13,0,22,22,19,1.77,3.75
40,田村　伊知郎,2.90,22,1,0,1,0,1.000,130,31.0,17,2,16,4,20,10,10,1.06,4.41
48,武隈　祥太,1.76,46,0,2,0,9,.000,120,30.2,17,2,14,0,25,7,6,1.01,3.61
14,増田　達至,4.99,33,0,3,8,9,.000,131,30.2,32,4,7,1,23,17,17,1.27,4.00
69,水上　由伸,2.33,29,0,1,0,4,.000,114,27.0,19,1,16,1,22,7,7,1.30,3.86
45,本田　圭佑,4.21,6,0,3,0,0,.000,111,25.2,23,3,14,0,9,14,12,1.44,5.57
15,宮川　哲,6.57,29,1,2,0,6,.333,117,24.2,23,4,18,3,30,18,18,1.66,5.35
64,上間　永遠,6.33,5,1,1,0,0,.500,94,21.1,26,3,9,0,10,15,15,1.64,5.28
34,佐野　泰雄,4.91,23,0,0,0,2,.000,84,18.1,22,1,8,2,7,10,10,1.64,4.54
36,伊藤　翔,4.00,13,0,1,0,2,.000,91,18.0,22,2,16,2,9,9,8,2.11,6.56
23,公文　克彦,0.79,14,0,0,0,3,.000,43,11.1,8,0,3,0,8,1,1,0.97,2.50
26,佐々木　健,8.31,5,0,0,0,0,.000,46,8.2,13,1,8,1,4,9,8,2.42,6.81
27,内海　哲也,7.71,2,1,0,0,0,1.000,36,7.0,11,2,5,0,3,6,6,2.29,8.12
43,吉川　光夫,16.62,5,0,0,0,0,.000,26,4.1,8,1,6,0,0,8,8,3.23,10.27
41,井上　広輝,10.38,4,0,0,0,0,.000,28,4.1,9,1,6,0,5,5,5,3.46,7.97
47,松岡　洸希,11.25,5,0,0,0,0,.000,22,4.0,5,0,5,1,1,5,5,2.50,7.12
59,大曲　錬,0.00,4,0,0,0,1,.000,13,4.0,1,0,2,0,2,0,0,0.75,3.62
29,小川　龍也,9.00,5,0,0,0,0,.000,11,2.0,2,1,3,0,1,2,2,2.50,13.12
16,松坂　大輔,-,1,0,0,0,0,.000,1,0.0,0,0,1,0,0,0,0,-,-
30,榎田　大樹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
50,中塚　駿太,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
57,齊藤　大将,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
67,粟津　凱士,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
