背番号,選手名,防御率,試合,勝利,敗北,セlブ,ホlルド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
背番号,選手名,防御率,試合,勝利,敗北,セlブ,ホlルド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
43,小島　和哉,3.76,24,10,4,0,0,.714,606,146.0,123,16,51,6,92,65,61,1.19,4.44
46,岩下　大輝,4.43,23,8,8,0,1,.500,514,120.0,110,14,46,2,87,59,59,1.30,4.36
18,二木　康太,4.38,22,5,7,0,0,.417,494,117.0,119,24,28,4,77,61,57,1.26,5.27
15,美馬　学,4.92,21,6,7,0,0,.462,506,115.1,139,15,32,4,92,72,63,1.48,4.13
12,石川　歩,3.38,12,6,3,0,0,.667,310,80.0,73,10,9,0,42,30,30,1.03,4.03
35,鈴木　昭汰,4.08,23,1,4,0,1,.200,341,79.1,78,10,28,2,76,38,36,1.34,3.98
52,益田　直也,2.24,67,3,6,38,0,.333,248,64.1,43,5,15,0,68,17,16,0.90,2.67
17,佐々木　朗希,2.27,11,3,2,0,0,.600,258,63.1,51,5,16,0,68,24,16,1.06,2.71
11,佐々木　千隼,1.26,54,8,1,1,26,.889,222,57.0,36,4,14,2,28,13,8,0.88,3.84
37,小野　郁,3.48,49,0,3,0,8,.000,220,51.2,37,4,26,2,56,25,20,1.22,3.53
42,ハーマン,5.19,45,1,1,0,24,.500,189,43.1,47,7,13,1,38,26,25,1.38,4.37
58,河村　説人,3.46,20,4,1,0,0,.800,178,41.2,39,4,17,0,28,16,16,1.34,4.03
48,中村　稔弥,3.08,14,0,2,0,0,.000,172,38.0,40,3,18,1,27,19,13,1.53,4.15
49,本前　郁也,4.78,8,1,2,0,0,.333,164,37.2,41,7,15,2,17,20,20,1.49,5.99
19,唐川　侑己,2.72,38,4,2,0,22,.667,150,36.1,29,4,13,1,26,11,11,1.16,4.28
24,東妻　勇輔,2.88,37,1,0,0,4,1.000,149,34.1,38,4,9,2,29,16,11,1.37,3.91
47,田中　靖洋,4.54,38,1,2,0,10,.333,156,33.2,42,3,13,2,20,18,17,1.63,3.98
92,国吉　佑樹,1.44,25,2,0,2,17,1.000,106,25.0,18,0,17,0,19,4,4,1.40,3.40
91,ロメロ,1.54,4,1,0,0,0,1.000,95,23.1,19,2,9,0,20,4,4,1.20,3.68
69,土居　豪人,7.53,14,0,0,0,0,.000,65,14.1,15,3,11,1,10,12,12,1.81,6.96
76,フローレス,1.38,10,1,0,0,0,1.000,52,13.0,9,0,5,0,11,3,2,1.08,2.35
64,大嶺　祐太,4.09,8,1,1,0,0,.500,51,11.0,15,1,2,0,7,6,5,1.55,3.57
60,横山　陸人,4.66,10,0,0,0,0,.000,48,9.2,14,1,3,2,11,6,5,1.76,3.74
20,東條　大樹,5.40,5,0,0,0,1,.000,20,3.1,7,0,5,0,0,2,2,3.60,7.62
41,成田　翔,0.00,3,0,0,0,0,.000,14,3.0,3,0,2,0,3,0,0,1.67,3.12
34,土肥　星也,13.50,1,0,1,0,0,.000,11,2.0,6,1,0,0,0,3,3,3.00,9.62
33,南　昌輝,0.00,1,0,0,0,1,.000,1,0.1,0,0,0,0,1,0,0,0.00,-2.88
16,種市　篤暉,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,山本　大貴,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,松永　昂大,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29,西野　勇士,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,石崎　剛,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,有吉　優樹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
56,中森　俊介,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
62,永野　将司,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
65,古谷　拓郎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
