,選手名,DEFENSE,GAME,WIN,LOSE,SAVE,HOLD,WIN_PAR,BE_HITTED,BE_HOMERUN,TAKE_FOUR,TAKE_DEAD,STRUCK_OUT,CONCEDED,MINE_CONCEDED,WHIP
1,今永　昇太,5,4,4,6,1,1,4,8,1,10,6,5,5,2,9
2,大貫　晋一,3,5,5,4,1,1,2,7,1,10,7,5,3,1,3
3,濵口　遥大,4,4,4,4,1,1,1,9,2,10,7,4,5,3,5
4,ロメロ,5,3,4,7,1,1,8,9,6,10,5,2,6,5,3
5,京山　将弥,2,4,3,4,1,1,1,8,1,10,8,3,5,2,1
6,坂本　裕哉,1,4,4,5,1,1,1,9,1,10,7,2,5,2,1
7,エスコバー,5,10,4,7,1,7,4,9,3,10,6,2,7,6,10
8,三嶋　一輝,3,9,3,6,6,1,1,9,2,10,10,2,6,5,5
9,山﨑　康晃,5,10,3,8,1,6,8,9,8,10,7,1,7,7,6
10,ピープルズ,3,4,3,7,1,1,1,9,5,10,8,2,7,6,8
11,砂田　毅樹,5,9,3,8,1,5,4,10,9,10,8,1,9,8,10
12,平田　真吾,3,7,3,10,1,2,10,9,4,10,8,1,7,7,3
13,櫻井　周斗,5,7,1,9,1,1,1,9,7,10,10,1,9,8,1
14,石田　健大,1,7,2,8,1,1,1,9,6,10,8,1,7,6,1
15,伊勢　大夢,6,7,1,9,1,3,1,10,10,10,9,1,9,8,7
16,三上　朋也,4,7,3,9,1,2,9,9,5,1,9,1,9,8,7
17,阪口　皓亮,3,2,3,7,1,1,1,9,6,10,9,1,8,7,1
18,上茶谷　大河,1,2,2,7,1,1,1,9,5,10,9,1,7,5,1
19,シャッケルフォード,1,7,2,10,1,2,10,10,7,10,5,1,8,7,4
20,国吉　佑樹,1,4,2,9,1,1,4,10,9,10,9,1,8,7,7
21,中川　虎大,1,2,1,9,1,1,1,9,7,10,10,1,7,7,1
22,東　克樹,7,1,2,8,1,1,1,10,9,1,10,1,9,9,10
23,入江　大生,1,1,1,7,1,1,1,10,6,1,9,1,8,7,3
24,宮國　椋丞,1,1,2,9,1,1,4,10,7,1,10,1,9,8,4
25,平良　拳太郎,10,1,1,10,1,1,1,10,10,1,10,1,9,9,10
