,選手名,DEFENSE,GAME,WIN,LOSE,SAVE,HOLD,WIN_PAR,BE_HITTED,BE_HOMERUN,TAKE_FOUR,TAKE_DEAD,STRUCK_OUT,CONCEDED,MINE_CONCEDED,WHIP
1,山本　由伸,10,6,10,6,1,1,10,7,3,10,8,10,6,5,10
2,宮城　大弥,6,5,8,7,1,1,10,8,1,10,1,6,5,2,9
3,田嶋　大樹,4,5,6,3,1,1,4,7,1,10,5,6,2,1,7
4,山﨑　福也,4,5,6,1,1,1,1,8,1,10,4,3,5,2,8
5,増井　浩俊,2,4,3,5,1,1,1,9,2,10,8,2,5,3,3
6,山岡　泰輔,4,3,3,7,1,1,1,9,3,10,7,3,7,5,7
7,竹安　大知,3,4,3,8,1,1,8,9,6,10,9,1,7,6,5
8,富山　凌雅,6,9,3,9,1,5,9,9,8,10,10,1,8,8,8
9,ヒギンス,6,8,2,8,1,6,1,9,7,10,9,1,9,8,7
10,山田　修義,7,7,2,10,1,3,10,9,8,10,9,1,9,8,6
11,平野　佳寿,7,8,2,7,7,2,1,10,6,1,10,1,9,8,10
12,山﨑　颯一郎,4,2,3,8,1,1,4,9,9,10,5,1,8,7,6
13,Ｋ－鈴木,5,7,2,10,1,1,10,9,8,10,9,1,9,8,7
14,漆原　大晟,5,7,3,8,1,2,4,10,6,10,9,1,9,8,7
15,能見　篤史,3,6,1,10,1,3,1,10,8,10,7,1,9,9,1
16,比嘉　幹貴,8,7,2,10,1,4,10,10,8,1,10,1,9,9,10
17,吉田　凌,7,4,2,9,1,2,4,10,7,1,10,1,9,9,10
18,スパークマン,1,2,1,9,1,1,1,10,6,1,9,1,9,8,6
19,澤田　圭佑,4,3,1,10,1,3,1,10,10,1,9,1,9,9,7
20,村西　良太,4,4,2,10,1,3,10,10,9,1,8,1,9,9,1
21,海田　智行,6,4,1,9,1,3,1,10,10,1,10,1,9,9,8
22,金田　和之,3,2,1,10,1,1,1,10,7,1,8,1,9,9,7
23,張　奕,1,2,1,9,1,2,1,10,6,1,10,1,9,8,1
24,鈴木　優,1,3,1,10,1,1,1,10,6,1,8,1,9,9,4
