,選手名,DEFENSE,GAME,WIN,LOSE,SAVE,HOLD,WIN_PAR,BE_HITTED,BE_HOMERUN,TAKE_FOUR,TAKE_DEAD,STRUCK_OUT,CONCEDED,MINE_CONCEDED,WHIP
1,森下　暢仁,6,5,6,4,1,1,5,5,1,10,7,6,4,1,7
2,九里　亜蓮,4,6,8,2,1,1,7,6,1,10,2,5,1,1,6
3,大瀬良　大地,5,5,7,6,1,1,9,7,1,10,5,5,3,2,8
4,玉村　昇悟,4,4,4,4,1,1,1,8,1,10,9,3,5,2,6
5,床田　寛樹,5,4,4,7,1,1,6,8,5,10,8,4,6,4,6
6,高橋　昂也,1,4,4,4,1,1,1,9,1,10,8,2,5,2,3
7,コルニエル,4,9,2,8,1,4,1,9,2,10,7,3,6,5,5
8,大道　温貴,2,5,4,7,1,2,4,9,6,10,8,1,7,5,4
9,栗林　良吏,10,9,1,9,9,1,1,10,9,10,9,4,9,9,10
10,島内　颯太郎,5,9,1,8,1,5,1,9,6,10,10,2,8,7,8
11,森浦　大輔,5,9,3,7,1,5,4,9,7,10,6,2,8,7,7
12,塹江　敦哉,3,9,4,7,1,5,6,9,6,10,9,1,7,7,1
13,ケムナ　誠,2,7,3,8,1,4,4,9,6,10,8,1,8,7,2
14,野村　祐輔,1,2,1,7,1,1,1,9,4,10,8,1,7,6,1
15,菊池　保則,9,7,3,9,1,2,9,9,7,10,7,1,9,9,5
16,高橋　樹也,10,6,1,10,1,1,1,10,7,10,9,1,9,9,8
17,バード,2,7,1,10,1,4,1,10,10,10,8,1,9,8,1
18,中田　廉,2,5,1,10,1,3,1,10,7,10,9,1,9,9,1
19,中村　祐太,1,1,1,7,1,1,1,10,7,1,10,1,8,7,1
