,選手名,DEFENSE,GAME,WIN,LOSE,SAVE,HOLD,WIN_PAR,BE_HITTED,BE_HOMERUN,TAKE_FOUR,TAKE_DEAD,STRUCK_OUT,CONCEDED,MINE_CONCEDED,WHIP
1,田中　将大,5,5,4,2,1,1,1,7,1,10,5,6,4,1,9
2,岸　孝之,5,6,6,1,1,1,2,5,1,10,9,6,2,1,7
3,則本　昂大,5,5,7,6,1,1,9,7,1,10,7,7,3,1,9
4,早川　隆久,4,5,6,4,1,1,6,7,1,10,8,6,3,1,8
5,瀧中　瞭太,5,5,7,6,1,1,9,8,1,10,6,3,6,3,7
6,涌井　秀章,1,5,5,3,1,1,1,8,3,10,8,3,3,1,4
7,宋　家豪,7,10,3,7,3,5,4,9,8,10,8,2,8,8,8
8,西口　直人,5,7,4,8,1,2,10,9,3,10,8,2,7,6,7
9,安樂　智大,7,9,3,7,1,5,4,9,6,10,8,2,9,8,5
10,酒居　知史,7,9,4,7,1,6,6,9,7,10,10,2,9,8,8
11,松井　裕樹,10,7,1,8,6,1,1,10,9,10,9,2,9,9,10
12,森原　康平,6,7,1,10,1,2,1,10,7,1,10,1,9,9,8
13,ブセニッツ,2,7,2,10,1,2,10,9,9,1,10,1,8,7,4
14,福山　博之,7,5,1,8,1,2,1,10,7,10,10,1,9,9,2
15,福井　優也,3,4,1,10,1,1,1,10,7,1,10,1,9,9,8
16,牧田　和久,5,4,1,10,1,1,1,10,8,1,9,1,9,9,7
17,弓削　隼人,1,2,2,9,1,1,4,10,10,1,9,1,9,8,1
18,石橋　良太,5,1,1,9,1,1,1,10,8,1,9,1,9,9,5
19,内間　拓馬,1,3,1,10,1,1,1,10,10,1,9,1,9,9,7
20,津留﨑　大成,1,3,1,10,1,1,1,10,10,1,10,1,9,9,2
