,選手名,DEFENSE,GAME,WIN,LOSE,SAVE,HOLD,WIN_PAR,BE_HITTED,BE_HOMERUN,TAKE_FOUR,TAKE_DEAD,STRUCK_OUT,CONCEDED,MINE_CONCEDED,WHIP
1,上沢　直之,6,5,8,5,1,1,9,8,2,10,6,6,4,2,9
2,加藤　貴之,5,6,5,4,1,1,2,7,1,10,7,5,2,1,9
3,伊藤　大海,6,5,7,2,1,1,5,7,2,10,4,7,4,2,7
4,バーヘイゲン,4,5,4,3,1,1,1,9,3,10,4,5,5,2,7
5,河野　竜生,6,7,3,5,1,3,1,9,3,10,6,3,6,5,8
6,池田　隆英,4,4,3,1,1,1,1,9,1,10,5,2,5,3,3
7,立野　和明,7,3,4,7,1,1,6,9,7,10,7,2,8,8,8
8,杉浦　稔大,6,9,3,7,7,1,4,9,1,10,9,3,8,7,9
9,堀　瑞輝,7,10,3,8,1,8,8,9,7,10,6,2,9,8,7
10,Ｂ．ロドリゲス,6,8,1,8,1,5,1,9,6,10,7,1,8,8,6
11,宮西　尚生,4,9,2,8,1,5,1,9,7,10,6,2,8,7,7
12,玉井　大翔,5,9,1,10,1,3,1,9,8,10,6,1,8,8,4
13,井口　和朋,8,7,2,8,1,4,1,10,6,10,8,1,9,9,10
14,アーリン,5,3,3,7,1,1,1,9,7,10,8,1,9,8,6
15,金子　弌大,1,2,1,7,1,1,1,9,6,10,7,1,7,6,1
16,西村　天裕,5,6,1,10,1,1,1,9,8,10,7,1,8,8,4
17,鈴木　健矢,3,5,1,10,1,1,1,10,9,1,7,1,9,9,7
18,上原　健太,4,3,1,10,1,1,1,10,10,1,10,1,9,9,7
19,谷川　昌希,1,2,2,10,1,1,10,10,9,1,10,1,9,9,7
20,秋吉　亮,6,3,1,10,1,1,1,10,10,1,10,1,9,9,8
