,選手名,DEFENSE,GAME,WIN,LOSE,SAVE,HOLD,WIN_PAR,BE_HITTED,BE_HOMERUN,TAKE_FOUR,TAKE_DEAD,STRUCK_OUT,CONCEDED,MINE_CONCEDED,WHIP
1,戸郷　翔征,3,6,6,3,1,1,5,7,1,10,4,6,1,1,7
2,髙橋　優貴,5,6,7,2,1,1,6,7,1,10,8,3,3,1,6
3,菅野　智之,5,4,5,4,1,1,2,9,1,10,3,5,5,2,10
4,畠　世周,5,9,4,7,1,4,6,9,1,10,6,4,6,4,8
5,メルセデス,4,4,5,6,1,1,7,8,5,10,5,3,6,3,5
6,山口　俊,4,4,3,3,1,1,1,9,4,10,7,4,6,4,6
7,サンチェス,2,3,4,6,1,1,4,9,1,10,7,2,6,3,4
8,今村　信貴,6,4,3,7,1,1,1,9,5,10,7,2,7,7,4
9,ビエイラ,6,9,1,7,5,1,1,9,7,10,9,3,8,7,8
10,中川　皓太,7,9,4,7,1,6,6,9,8,10,5,2,8,8,9
11,鍵谷　陽平,5,9,3,10,1,5,10,9,5,10,10,1,8,8,6
12,デラロサ,6,8,2,10,3,4,10,9,7,10,8,1,9,8,7
13,高梨　雄平,4,9,3,8,1,5,4,9,8,10,5,2,8,7,4
14,田中　豊樹,6,7,1,10,1,1,1,10,5,10,9,1,9,8,8
15,戸根　千明,2,6,3,10,1,1,10,10,6,10,7,1,8,7,6
16,桜井　俊貴,1,6,2,10,1,3,10,9,3,10,9,1,8,7,2
17,大江　竜聖,3,8,1,10,1,4,1,10,8,10,8,1,8,8,5
18,高木　京介,3,4,2,10,1,1,10,10,9,1,10,1,9,9,1
19,野上　亮磨,9,2,1,9,1,2,1,10,9,1,10,1,9,9,10
20,直江　大輔,2,1,1,9,1,1,1,10,9,1,8,1,9,9,1
