,選手名,DEFENSE,GAME,WIN,LOSE,SAVE,HOLD,WIN_PAR,BE_HITTED,BE_HOMERUN,TAKE_FOUR,TAKE_DEAD,STRUCK_OUT,CONCEDED,MINE_CONCEDED,WHIP
1,石川　柊太,5,6,5,2,1,1,1,7,1,10,1,6,2,1,8
2,マルティネス,9,5,6,7,1,1,9,8,4,10,5,6,7,6,9
3,和田　毅,3,4,4,5,1,1,2,8,1,10,7,4,5,2,7
4,千賀　滉大,6,3,7,7,1,1,10,9,8,10,8,4,7,6,9
5,武田　翔太,6,3,4,6,1,1,1,9,3,10,8,3,7,6,8
6,東浜　巨,4,3,4,7,1,1,4,9,3,10,7,3,6,4,4
7,松本　裕樹,4,7,3,7,1,2,4,9,1,10,8,2,6,4,7
8,笠谷　俊介,3,4,3,7,1,1,1,9,1,10,8,3,7,5,3
9,岩嵜　翔,3,8,3,6,2,4,1,9,3,10,10,2,7,6,9
10,レイ,7,2,3,9,1,1,10,10,7,10,7,1,9,9,10
11,板東　湧梧,6,7,1,8,1,5,1,10,6,10,8,2,9,8,8
12,高橋　礼,1,3,2,9,1,1,4,9,7,10,4,1,7,6,1
13,津森　宥紀,7,8,2,10,1,4,10,10,8,1,8,2,9,9,10
14,モイネロ,10,7,2,10,2,4,10,10,8,10,9,2,9,9,9
15,森　唯斗,3,7,2,7,5,1,1,10,4,10,10,1,9,8,9
16,嘉弥真　新也,2,9,2,10,1,5,10,10,8,10,9,1,8,8,7
17,泉　圭輔,6,7,2,8,1,3,1,10,6,10,7,1,9,9,7
18,杉山　一樹,5,4,3,8,1,1,4,10,9,10,8,1,9,9,1
19,スチュワート・ジュニア,1,3,1,8,1,1,1,10,10,10,9,1,8,7,1
20,大関　友久,7,3,1,10,1,1,1,10,9,10,8,1,9,9,10
21,田浦　文丸,5,4,2,10,1,1,10,10,9,1,10,1,9,9,5
22,甲斐野　央,3,5,1,8,1,2,1,10,7,10,8,1,9,9,7
23,田中　正義,7,4,1,10,1,1,1,10,8,1,10,1,9,9,9
24,古谷　優人,7,3,2,9,1,1,4,10,10,1,9,1,9,9,9
25,二保　旭,2,1,1,9,1,1,1,10,10,1,9,1,9,9,2
26,髙橋　純平,10,3,2,9,1,1,4,10,10,1,9,1,9,10,9
27,尾形　崇斗,10,2,1,10,1,1,1,10,9,1,10,1,9,9,10
