,選手名,DEFENSE,GAME,WIN,LOSE,SAVE,HOLD,WIN_PAR,BE_HITTED,BE_HOMERUN,TAKE_FOUR,TAKE_DEAD,STRUCK_OUT,CONCEDED,MINE_CONCEDED,WHIP
1,髙橋　光成,4,6,7,2,1,1,6,6,1,10,4,6,1,1,7
2,今井　達也,5,6,6,3,1,1,4,7,1,10,1,6,2,1,4
3,松本　航,4,6,7,3,1,1,6,7,1,10,6,6,2,1,6
4,平井　克典,3,6,4,7,1,1,4,9,3,10,4,2,6,4,5
5,平良　海馬,10,10,3,7,6,5,1,9,10,10,5,3,9,9,9
6,ニール,1,3,2,5,1,1,1,9,7,10,7,1,5,3,2
7,ギャレット,4,10,4,7,1,5,6,9,4,10,10,2,7,6,1
8,渡邉　勇太朗,5,4,4,7,1,1,4,9,7,10,7,1,7,6,6
9,森脇　亮介,3,8,3,9,1,4,10,9,7,10,8,1,8,7,1
10,十亀　剣,5,7,2,9,1,3,4,9,9,10,8,1,8,8,2
11,與座　海人,6,4,2,9,1,1,4,9,7,10,6,1,9,8,9
12,浜屋　将太,1,2,2,5,1,1,1,9,2,10,6,1,7,5,1
13,ダーモディ,1,3,1,8,1,1,1,9,8,10,10,1,7,7,1
14,田村　伊知郎,6,5,2,10,1,1,10,10,8,10,6,1,9,9,9
15,武隈　祥太,8,8,1,8,1,3,1,10,8,10,10,1,9,9,9
16,増田　達至,2,7,1,7,3,3,1,9,6,1,9,1,8,7,7
17,水上　由伸,7,6,1,9,1,2,1,10,9,10,9,1,9,9,6
18,本田　圭佑,3,2,1,7,1,1,1,10,7,10,10,1,9,8,4
19,宮川　哲,1,6,2,8,1,3,1,10,6,10,7,1,8,7,1
20,上間　永遠,1,2,2,9,1,1,4,10,7,1,10,1,9,8,1
21,佐野　泰雄,2,5,1,10,1,1,1,10,9,1,8,1,9,9,1
22,伊藤　翔,4,3,1,9,1,1,1,10,8,10,8,1,9,9,1
23,公文　克彦,10,3,1,10,1,2,1,10,10,1,10,1,9,9,10
