,選手名,DEFENSE,GAME,WIN,LOSE,SAVE,HOLD,WIN_PAR,BE_HITTED,BE_HOMERUN,TAKE_FOUR,TAKE_DEAD,STRUCK_OUT,CONCEDED,MINE_CONCEDED,WHIP
1,小島　和哉,4,5,7,7,1,1,10,7,1,10,4,4,2,1,8
2,岩下　大輝,3,5,6,3,1,1,4,8,1,10,8,4,3,1,6
3,二木　康太,3,5,4,4,1,1,1,8,1,10,6,3,2,1,7
4,美馬　学,2,5,5,4,1,1,2,7,1,10,6,4,1,1,3
5,石川　歩,5,3,5,7,1,1,9,9,1,1,10,2,7,5,9
6,鈴木　昭汰,3,5,2,7,1,1,1,9,1,10,8,3,6,3,6
7,益田　直也,7,10,3,5,9,1,1,9,5,10,10,3,8,7,10
8,佐々木　朗希,7,3,3,8,1,1,8,9,5,10,10,3,7,7,9
9,佐々木　千隼,10,9,6,9,1,6,10,9,6,10,8,1,9,9,10
10,小野　郁,5,8,1,7,1,3,1,9,6,10,8,2,7,7,7
11,ハーマン,1,8,2,9,1,5,4,9,3,10,9,1,7,6,5
12,河村　説人,5,5,4,9,1,1,10,9,6,10,10,1,8,7,6
13,中村　稔弥,5,3,1,8,1,1,1,9,7,10,9,1,8,8,2
14,本前　郁也,2,2,2,8,1,1,1,9,3,10,8,1,8,7,3
15,唐川　侑己,6,7,4,8,1,5,9,10,6,10,9,1,9,8,8
16,東妻　勇輔,6,7,2,10,1,2,10,9,6,1,8,1,8,8,5
17,田中　靖洋,2,7,2,8,1,4,1,9,7,10,8,1,8,7,1
18,国吉　佑樹,10,6,3,10,1,5,10,10,10,10,10,1,9,9,4
19,ロメロ,9,1,2,10,1,1,10,10,8,1,10,1,9,9,7
20,土居　豪人,1,3,1,10,1,1,1,10,7,10,9,1,9,8,1
21,フローレス,10,3,2,10,1,1,10,10,10,1,10,1,9,9,9
22,大嶺　祐太,3,2,2,9,1,1,4,10,9,1,10,1,9,9,2
