,選手名,DEFENSE,GAME,WIN,LOSE,SAVE,HOLD,WIN_PAR,BE_HITTED,BE_HOMERUN,TAKE_FOUR,TAKE_DEAD,STRUCK_OUT,CONCEDED,MINE_CONCEDED,WHIP
1,小川　泰弘,3,5,6,5,1,1,8,7,1,10,9,4,2,1,7
2,奥川　恭伸,5,4,6,7,1,1,9,8,1,10,8,4,6,3,9
3,田口　麗斗,3,7,4,2,1,2,1,7,1,10,8,4,3,2,2
4,石川　雅規,5,4,4,6,1,1,1,9,1,10,7,2,6,5,8
5,高橋　奎二,6,3,4,9,1,1,10,9,1,10,4,4,7,6,9
6,スアレス,4,5,4,7,1,2,8,9,1,10,5,3,6,4,3
7,サイスニード,5,3,5,8,1,1,10,9,1,10,8,3,7,5,7
8,清水　昇,7,10,3,5,1,10,1,9,1,10,8,3,7,7,9
9,マクガフ,6,10,3,8,8,4,8,9,3,10,7,3,8,7,9
10,今野　龍太,6,10,5,9,1,6,10,9,9,10,7,3,8,7,7
11,高梨　裕稔,4,3,4,9,1,1,10,9,1,10,7,2,7,6,7
12,石山　泰稚,4,9,1,6,4,3,1,9,4,10,10,3,7,6,8
13,原　樹理,7,2,3,9,1,1,10,9,10,10,6,1,9,8,7
14,金久保　優斗,6,3,4,9,1,1,10,9,7,10,8,1,9,8,7
15,大下　佑馬,4,7,2,10,1,1,10,9,5,1,8,1,8,7,9
16,大西　広樹,6,7,3,10,1,3,10,9,6,10,8,1,9,8,7
17,坂本　光士郎,3,7,2,8,1,3,1,10,6,10,7,1,8,8,5
18,梅野　雄吾,7,6,1,10,1,3,1,10,6,1,8,1,9,9,7
19,星　知弥,2,6,1,10,1,3,1,10,8,10,10,1,9,8,4
20,吉田　大喜,1,4,2,9,1,1,4,9,5,10,10,1,8,7,1
21,近藤　弘樹,10,5,1,9,1,4,1,10,9,1,10,1,9,9,10
