,選手名,DEFENSE,GAME,WIN,LOSE,SAVE,HOLD,WIN_PAR,BE_HITTED,BE_HOMERUN,TAKE_FOUR,TAKE_DEAD,STRUCK_OUT,CONCEDED,MINE_CONCEDED,WHIP
1,青柳　晃洋,7,6,8,5,1,1,9,5,1,10,7,5,5,2,7
2,西　勇輝,4,5,5,2,1,1,1,5,1,10,6,4,2,1,7
3,伊藤　将司,7,5,7,4,1,1,7,8,1,10,7,3,5,3,9
4,秋山　拓巳,6,5,7,4,1,1,7,7,1,10,7,5,5,3,8
5,ガンケル,6,5,6,7,1,1,10,8,1,10,7,4,6,3,9
6,スアレス,10,10,2,9,10,1,4,9,10,1,10,2,9,9,10
7,アルカンタラ,5,5,3,7,1,3,4,9,4,10,10,2,7,6,8
8,岩崎　優,6,10,3,7,1,9,1,9,4,10,10,2,7,7,9
9,髙橋　遥人,9,2,4,8,1,1,9,10,9,1,10,2,9,9,10
10,藤浪　晋太郎,1,5,3,7,1,2,4,9,6,10,6,2,7,5,1
11,馬場　皐輔,4,7,3,10,1,4,10,9,5,10,10,1,7,7,7
12,及川　雅貴,4,7,3,7,1,4,1,9,6,10,8,1,8,7,4
13,岩貞　祐太,2,8,4,10,1,4,10,9,6,10,7,1,7,7,4
14,齋藤　友貴哉,2,4,2,9,1,1,4,10,9,10,10,1,9,8,2
15,小川　一平,6,4,2,10,1,1,10,10,8,1,10,1,9,9,9
16,小林　慶祐,7,5,1,9,1,2,1,10,9,10,10,1,9,9,4
17,石井　大智,1,4,1,9,1,1,1,10,7,1,10,1,9,8,6
18,二保　旭,1,1,2,9,1,1,4,10,7,1,9,1,9,9,1
19,小野　泰己,1,3,1,10,1,1,1,10,9,1,9,1,9,8,1
