背番号,選手名,防御率,試合,勝利,敗北,セlブ,ホlルド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
背番号,選手名,防御率,試合,勝利,敗北,セlブ,ホlルド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
29,小川　泰弘,4.14,23,9,6,0,0,.600,529,128.1,132,15,30,1,97,64,59,1.26,3.78
11,奥川　恭伸,3.26,18,9,4,0,0,.692,413,105.0,99,11,10,2,91,38,38,1.04,3.09
34,田口　麗斗,4.02,33,5,9,0,4,.357,449,100.2,126,10,28,2,81,59,45,1.53,3.61
19,石川　雅規,3.07,17,4,5,0,0,.444,335,82.0,81,10,16,3,54,31,28,1.18,4.05
47,高橋　奎二,2.87,14,4,1,0,0,.800,320,78.1,59,9,25,6,80,25,25,1.07,3.64
43,スアレス,3.62,24,5,3,1,3,.625,339,77.0,82,9,32,5,70,32,31,1.48,4.26
54,サイスニード,3.41,13,6,2,0,0,.750,279,68.2,60,9,23,2,69,29,26,1.21,3.91
17,清水　昇,2.39,72,3,6,1,50,.333,272,67.2,55,12,18,2,74,23,18,1.08,3.90
37,マクガフ,2.52,66,3,2,31,14,.600,259,64.1,43,7,23,3,76,19,18,1.03,3.29
69,今野　龍太,2.76,64,7,1,0,28,.875,268,62.0,55,1,25,3,63,19,19,1.29,2.65
14,高梨　裕稔,3.63,12,4,1,0,0,.800,264,62.0,62,11,15,3,56,28,25,1.24,4.44
12,石山　泰稚,3.60,58,0,5,10,9,.000,226,55.0,54,6,10,0,64,23,22,1.16,2.76
16,原　樹理,2.30,9,3,1,0,0,.750,198,47.0,45,0,12,4,25,14,12,1.21,2.95
48,金久保　優斗,2.74,10,4,1,0,0,.800,180,42.2,39,3,16,2,34,14,13,1.29,3.71
64,大下　佑馬,3.72,30,1,0,0,1,1.000,159,38.2,34,5,8,2,32,16,16,1.09,3.77
44,大西　広樹,2.82,33,3,0,0,7,1.000,159,38.1,36,4,12,2,24,12,12,1.25,4.24
26,坂本　光士郎,4.05,36,1,2,0,7,.333,148,33.1,29,4,17,3,25,17,15,1.38,4.89
38,梅野　雄吾,2.49,29,0,0,0,8,.000,106,25.1,22,4,9,2,29,7,7,1.22,4.19
24,星　知弥,4.81,25,0,0,1,7,.000,108,24.1,23,2,11,0,28,14,13,1.40,3.24
28,吉田　大喜,6.17,16,1,1,0,0,.500,111,23.1,31,5,12,0,26,17,16,1.84,5.09
52,近藤　弘樹,0.96,22,0,1,0,11,.000,67,18.2,15,1,2,0,17,2,2,0.91,2.32
35,杉山　晃基,9.95,4,0,0,0,0,.000,30,6.1,9,2,2,1,4,7,7,1.74,7.38
15,バンデンハーク,15.43,2,0,1,0,0,.000,28,4.2,11,2,2,1,4,8,8,2.79,8.91
53,長谷川　宙輝,10.80,4,1,0,0,0,1.000,18,3.1,4,2,3,0,3,5,4,2.10,11.82
18,寺島　成輝,4.50,1,0,0,0,0,.000,10,2.0,5,0,0,0,0,1,1,2.50,3.12
21,山野　太一,47.25,1,0,0,0,0,.000,12,1.1,5,0,2,1,3,7,7,5.25,5.37
20,木澤　尚文,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
40,市川　悠太,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
56,鈴木　裕太,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
61,久保　拓眞,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
62,歳内　宏明,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
63,中尾　輝,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
67,嘉手苅　浩太,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
68,宮台　康平,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
71,ケリン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99,蔵本　治孝,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
