背番号,選手名,防御率,試合,勝利,敗北,セlブ,ホlルド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
背番号,選手名,防御率,試合,勝利,敗北,セlブ,ホlルド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
50,青柳　晃洋,2.48,25,13,6,0,0,.684,651,156.1,143,11,48,3,104,48,43,1.22,3.53
16,西　勇輝,3.76,24,6,9,0,0,.400,610,143.2,143,12,40,4,95,68,60,1.27,3.68
27,伊藤　将司,2.44,23,10,7,0,1,.588,557,140.1,119,15,34,3,79,42,38,1.09,4.11
46,秋山　拓巳,2.71,24,10,7,0,0,.588,539,132.2,121,18,25,3,107,43,40,1.10,3.84
49,ガンケル,2.95,20,9,3,0,0,.750,465,113.0,99,10,24,3,87,39,37,1.09,3.42
75,スアレス,1.16,62,1,1,42,0,.500,229,62.1,40,0,8,0,58,9,8,0.77,1.55
44,アルカンタラ,3.49,24,3,3,0,6,.500,243,59.1,55,6,14,0,48,25,23,1.16,3.47
13,岩崎　優,2.65,62,3,4,1,41,.429,230,57.2,47,6,15,0,51,21,17,1.08,3.38
29,髙橋　遥人,1.65,7,4,2,0,0,.667,181,49.0,30,1,5,0,55,10,9,0.71,1.45
19,藤浪　晋太郎,5.21,21,3,3,0,4,.500,238,48.1,47,4,40,4,52,29,28,1.80,4.78
18,馬場　皐輔,3.80,44,3,0,0,10,1.000,198,47.1,43,5,17,0,39,23,20,1.27,3.86
37,及川　雅貴,3.69,39,2,3,0,10,.400,169,39.0,31,4,24,2,38,18,16,1.41,4.20
17,岩貞　祐太,4.66,46,4,0,0,12,1.000,174,38.2,42,4,14,3,33,21,20,1.45,3.92
48,齋藤　友貴哉,4.63,19,1,1,0,1,.500,103,23.1,23,1,12,0,26,14,12,1.50,2.99
66,小川　一平,2.95,19,1,0,0,2,1.000,83,21.1,15,2,7,0,19,7,7,1.03,3.54
56,小林　慶祐,2.25,22,0,1,0,4,.000,86,20.0,17,1,11,0,16,8,5,1.40,3.67
69,石井　大智,6.23,18,0,1,0,0,.000,75,17.1,17,3,6,0,16,12,12,1.33,4.39
34,二保　旭,5.28,4,1,1,0,0,.500,70,15.1,17,3,7,1,9,10,9,1.57,6.05
28,小野　泰己,7.98,12,0,0,0,0,.000,71,14.2,17,1,8,1,14,13,13,1.70,3.94
14,チェン・ウェイン,3.86,2,1,0,0,0,1.000,39,9.1,10,0,3,0,7,5,4,1.39,2.58
15,西　純矢,3.38,2,1,1,0,0,.500,34,8.0,4,0,7,0,2,3,3,1.38,5.25
42,エドワーズ,2.57,7,0,0,0,0,.000,31,7.0,6,1,4,0,7,3,2,1.43,4.69
64,桑原　謙太朗,9.00,7,0,0,0,0,.000,33,7.0,8,2,4,1,7,7,7,1.71,6.98
36,浜地　真澄,4.50,4,0,0,0,0,.000,26,6.0,8,0,2,0,6,3,3,1.67,1.62
54,加治屋　蓮,7.94,7,1,2,0,1,.333,29,5.2,7,1,1,1,3,6,5,1.41,5.41
41,村上　頌樹,16.88,2,0,1,0,0,.000,30,5.1,9,3,5,0,0,10,10,2.63,13.25
21,岩田　稔,0.00,3,0,0,0,0,.000,13,3.0,3,0,0,1,3,0,0,1.00,2.12
65,湯浅　京己,18.00,3,0,0,0,0,.000,21,3.0,10,0,2,0,2,7,6,4.00,3.79
43,守屋　功輝,12.00,2,0,0,0,0,.000,16,3.0,5,1,1,1,3,4,4,2.00,7.45
20,中田　賢一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,佐藤　蓮,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,谷川　昌希,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
40,尾仲　祐哉,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
47,川原　陸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
61,望月　惇志,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
92,伊藤　和雄,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
93,石井　将希,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
