背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27
背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27
5,近本　光司,.313,140,612,569,178,10,50,24,33,4,58,4,6,.354,.441,.795,5.95,5.67
31,マルテ,.258,128,526,446,115,22,71,0,74,4,72,0,16,.367,.451,.818,5.67,5.68
51,中野　拓夢,.273,135,525,466,127,1,36,30,29,6,81,20,6,.321,.328,.649,4.09,4.00
3,大山　悠輔,.260,129,512,466,121,21,71,2,37,2,89,0,15,.313,.453,.765,4.65,4.76
33,糸原　健斗,.286,125,488,441,126,2,30,6,41,2,61,1,9,.347,.351,.698,4.40,4.32
52,サンズ,.248,120,461,408,101,20,65,1,49,1,89,0,11,.328,.451,.779,4.97,5.00
2,梅野　隆太郎,.225,130,458,404,91,3,33,8,41,5,107,6,14,.303,.300,.603,2.79,2.83
8,佐藤　輝明,.238,126,455,425,101,24,64,6,25,3,173,0,2,.284,.466,.749,4.67,4.71
24,ロハス・ジュニア,.217,60,206,189,41,8,21,1,15,2,58,0,3,.282,.381,.663,3.32,3.45
0,木浪　聖也,.227,92,132,119,27,1,15,0,7,1,20,2,1,.269,.319,.589,2.91,3.11
7,糸井　嘉男,.208,77,119,106,22,3,18,1,9,1,37,0,4,.269,.340,.609,2.69,3.05
53,島田　海吏,.243,57,78,70,17,0,9,8,5,0,13,3,0,.293,.286,.579,3.50,3.42
12,坂本　誠志郎,.185,45,73,65,12,1,6,0,5,0,21,2,0,.239,.292,.532,2.21,2.47
97,小野寺　暖,.179,34,73,67,12,1,2,0,5,1,19,0,2,.247,.254,.500,1.55,1.70
94,原口　文仁,.204,56,58,49,10,0,3,0,5,4,12,0,0,.328,.286,.613,3.72,3.76
26,北條　史也,.200,33,57,50,10,1,6,0,4,1,11,2,1,.273,.300,.573,2.49,2.57
55,陽川　尚将,.174,41,52,46,8,2,6,0,3,2,19,1,2,.255,.326,.581,2.10,2.27
0,山本　泰寛,.186,69,51,43,8,0,3,2,6,1,10,0,0,.294,.256,.550,3.14,3.41
38,小幡　竜平,.261,43,25,23,6,0,0,3,2,0,7,0,0,.320,.391,.711,4.77,4.61
63,板山　祐太郎,.143,43,17,14,2,0,1,0,2,0,6,1,0,.250,.357,.607,2.81,2.80
62,植田　海,.333,64,7,6,2,0,0,10,1,0,2,0,0,.429,.333,.762,13.68,13.18
4,熊谷　敬宥,.000,73,6,5,0,0,0,7,0,0,1,1,0,.000,.000,.000,1.17,2.01
25,江越　大賀,.000,31,3,3,0,0,0,5,0,0,1,0,0,.000,.000,.000,0.64,2.03
9,髙山　俊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
32,井上　広大,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
39,榮枝　裕貴,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
45,遠藤　成,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
57,長坂　拳弥,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
58,荒木　郁也,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
59,藤田　健斗,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
60,中谷　将大,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
67,髙寺　望夢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
68,俊介,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
95,片山　雄哉,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
